Rank,University,Points
1,Moscow Polytechnic University,4301
2,Bauman Moscow State Technical University,2444
3,Togliatti State University,1550
4,Ural State University of Railway Transport,1275
5,Moscow State Automobile & Road Technical University - MADI,1135
6,Peoples' Friendship University of Russia,1066
7,Belgorod state technological university named after V. G. Shukhov,462
8,Tyumen Industrial University,207
9,Cherepovets State University,125
10,Nizhny Novgorod State Technical University,106
11,Peter the Great St. Petersburg Polytechnic University,102
12,Ufa State Aviation Technical University,31
