Rank,University,Lowest Place,#
1,Moscow Polytechnic University,1st,1
2,Bauman Moscow State Technical University,11th,2
3,Togliatti State University,13th,1
4,Peoples' Friendship University of Russia,15th,1
5,Ural State University of Railway Transport,16th,1
6,Tyumen Industrial University,26th,1
7,Belgorod state technological university named after V. G. Shukhov,28th,1
8,Moscow State Automobile & Road Technical University - MADI,30th,1
9,Cherepovets State University,31st,1
10,Nizhny Novgorod State Technical University,34th,1
11,Peter the Great St. Petersburg Polytechnic University,53rd,1
12,Ufa State Aviation Technical University,N/A,0
