Rank,University,Points
1,Moscow Polytechnic University,747.73
2,Bauman Moscow State Technical University,361.72
3,Moscow State Automobile & Road Technical University - MADI,348.91
4,Ural State University of Railway Transport,301.34
5,Peoples' Friendship University of Russia,283.69
6,Togliatti State University,196.75
7,Tyumen Industrial University,119.94
8,Belgorod state technological university named after V. G. Shukhov,102.23
9,Cherepovets State University,47.55
10,Nizhny Novgorod State Technical University,43.8
11,Peter the Great St. Petersburg Polytechnic University,21.29
12,Ufa State Aviation Technical University,16.4
