Rank,University,Points
1,Bauman Moscow State Technical University,36.62
2,Togliatti State University,33.83
3,Belgorod state technological university named after V. G. Shukhov,33.01
4,Moscow Polytechnic University,15.75
5,Peoples' Friendship University of Russia,11.75
6,Ural State University of Railway Transport,7.96
7,Nizhny Novgorod State Technical University,7.5
8,Moscow State Automobile & Road Technical University - MADI,4.88
9,Tyumen Industrial University,1.62
10,Cherepovets State University,0.0
11,Peter the Great St. Petersburg Polytechnic University,0.0
12,Ufa State Aviation Technical University,0.0
