Rank,University,Lowest Place,#
1,Bauman Moscow State Technical University,7th,1
2,Moscow Polytechnic University,9th,1
3,Togliatti State University,20th,1
4,Ural State University of Railway Transport,21st,1
5,Peoples' Friendship University of Russia,22nd,1
6,Moscow State Automobile & Road Technical University - MADI,24th,1
7,Ufa State Aviation Technical University,26th,1
8,Belgorod state technological university named after V. G. Shukhov,31st,1
9,Tyumen Industrial University,33rd,1
10,Cherepovets State University,38th,1
11,Nizhny Novgorod State Technical University,39th,1
12,Peter the Great St. Petersburg Polytechnic University,57th,1
