Rank,University,Lowest Place,#
1,Togliatti State University,10th,1
2,Bauman Moscow State Technical University,13th,1
3,Moscow Polytechnic University,13th,1
4,Belgorod state technological university named after V. G. Shukhov,19th,1
5,Peoples' Friendship University of Russia,20th,1
6,Nizhny Novgorod State Technical University,30th,1
7,Ural State University of Railway Transport,30th,1
8,Moscow State Automobile & Road Technical University - MADI,52nd,1
9,Cherepovets State University,N/A,0
10,Peter the Great St. Petersburg Polytechnic University,N/A,0
11,Tyumen Industrial University,N/A,0
12,Ufa State Aviation Technical University,N/A,0
