Rank,University,Lowest Place,#
1,Universitat Politécnica de Valéncia,1st,2
2,University of Malaga,3rd,2
3,University of Seville,3rd,1
4,Escola Politècnica Superior d'Enginyeria de Manresa,4th,1
5,Universidad de Vigo,5th,1
6,University of the Basque Country,8th,1
7,Escola Politècnica Superior d'Enginyeria de Vilanova i la Geltrú UPC,10th,1
8,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,10th,1
9,TECNUN - University of Navarra,10th,1
10,Universidad Europea de Madrid,10th,1
11,Universidad Rey Juan Carlos,11th,1
12,Universitat Jaume I,13th,1
13,Escola Universitària Salesiana de Sarrià (UAB),14th,1
14,Universidad Politécnica de Madrid (UPM),16th,1
15,Universidad de Castilla-La Mancha,30th,1
16,Universidad Francisco de Vitoria,N/A,0
17,Universidad Politécnica de Cartagena,N/A,0
18,Universitat de Girona,N/A,0
19,University Carlos III of Madrid,N/A,0
20,University of Cadiz,N/A,0
21,University of Valladolid,N/A,0
