Rank,University,Points
1,Universitat Politécnica de Valéncia,15006
2,University of Seville,6439
3,Universidad Politécnica de Madrid (UPM),3876
4,Universidad Europea de Madrid,3854
5,Escola Politècnica Superior d'Enginyeria de Manresa,3693
6,TECNUN - University of Navarra,3636
7,University Carlos III of Madrid,3117
8,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,2727
9,Universidad de Vigo,2673
10,University of Malaga,1855
11,University of Cadiz,1400
12,Universidad Rey Juan Carlos,1139
13,University of the Basque Country,1104
14,Universitat Jaume I,977
15,Escola Universitària Salesiana de Sarrià (UAB),975
16,Escola Politècnica Superior d'Enginyeria de Vilanova i la Geltrú UPC,855
17,Universidad Francisco de Vitoria,505
18,Universidad Politécnica de Cartagena,505
19,Universidad de Castilla-La Mancha,361
20,Universitat de Girona,166
21,University of Valladolid,25
