Rank,University,Points
1,Universitat Politécnica de Valéncia,69.48
2,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,29.42
3,Escola Politècnica Superior d'Enginyeria de Manresa,20.67
4,University of Seville,18.21
5,University of the Basque Country,11.49
6,University of Malaga,10.89
7,University of Cadiz,10.43
8,TECNUN - University of Navarra,10.27
9,University Carlos III of Madrid,9.46
10,Universidad de Vigo,9.44
11,Universidad Francisco de Vitoria,7.98
12,Universidad Politécnica de Madrid (UPM),4.88
13,Universidad de Castilla-La Mancha,4.0
14,Universidad Europea de Madrid,3.65
15,Universitat Jaume I,2.0
16,Escola Universitària Salesiana de Sarrià (UAB),1.8
17,Escola Politècnica Superior d'Enginyeria de Vilanova i la Geltrú UPC,1.5
18,Universidad Rey Juan Carlos,1.35
19,Universidad Politécnica de Cartagena,0.0
20,Universitat de Girona,0.0
21,University of Valladolid,0.0
