Rank,University,Lowest Place,#
1,Universitat Politécnica de Valéncia,1st,1
2,University of Malaga,3rd,1
3,Escola Politècnica Superior d'Enginyeria de Manresa,5th,1
4,University of Seville,5th,1
5,Universidad Europea de Madrid,6th,1
6,University Carlos III of Madrid,7th,1
7,Universitat Jaume I,8th,1
8,University of the Basque Country,10th,1
9,Escola Universitària Salesiana de Sarrià (UAB),11th,1
10,TECNUN - University of Navarra,12th,1
11,Universidad Rey Juan Carlos,12th,1
12,University of Cadiz,12th,1
13,Universidad de Vigo,13th,1
14,Universidad Politécnica de Madrid (UPM),14th,1
15,Universidad de Castilla-La Mancha,22nd,1
16,Escola Politècnica Superior d'Enginyeria de Vilanova i la Geltrú UPC,23rd,1
17,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,25th,1
18,Universidad Francisco de Vitoria,N/A,0
19,Universidad Politécnica de Cartagena,N/A,0
20,Universitat de Girona,N/A,0
21,University of Valladolid,N/A,0
