Rank,University,Points
1,Universitat Politécnica de Valéncia,1220.32
2,University of Seville,611.66
3,Universidad Europea de Madrid,392.02
4,Universidad Politécnica de Madrid (UPM),371.49
5,TECNUN - University of Navarra,313.16
6,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,136.16
7,University Carlos III of Madrid,124.0
8,University of Malaga,113.47
9,Escola Politècnica Superior d'Enginyeria de Manresa,89.26
10,Universitat Jaume I,80.7
11,Escola Universitària Salesiana de Sarrià (UAB),76.4
12,University of the Basque Country,45.48
13,Universidad Rey Juan Carlos,39.6
14,Universidad de Vigo,20.0
15,University of Cadiz,19.7
16,Universidad de Castilla-La Mancha,8.71
17,Escola Politècnica Superior d'Enginyeria de Vilanova i la Geltrú UPC,8.6
18,Universidad Francisco de Vitoria,0.0
19,Universidad Politécnica de Cartagena,0.0
20,Universitat de Girona,0.0
21,University of Valladolid,0.0
