Rank,University,Lowest Place,#
1,University of Seville,1st,6
2,Universitat Politécnica de Valéncia,1st,1
3,University of Malaga,1st,1
4,Escola Politècnica Superior d'Enginyeria de Manresa,2nd,2
5,TECNUN - University of Navarra,3rd,1
6,Universidad de Vigo,3rd,1
7,Universidad Europea de Madrid,3rd,1
8,University Carlos III of Madrid,3rd,1
9,Universidad Francisco de Vitoria,4th,1
10,Universidad Politécnica de Cartagena,4th,1
11,Universidad Politécnica de Madrid (UPM),4th,1
12,University of Cadiz,4th,1
13,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,7th,1
14,Escola Universitària Salesiana de Sarrià (UAB),9th,1
15,University of the Basque Country,9th,1
16,Universidad Rey Juan Carlos,10th,1
17,Universidad de Castilla-La Mancha,14th,1
18,Universitat Jaume I,14th,1
19,Escola Politècnica Superior d'Enginyeria de Vilanova i la Geltrú UPC,15th,1
20,University of Valladolid,25th,1
21,Universitat de Girona,35th,1
