Acceleration - Average Points,2nd,57.97,
Acceleration - Best Result,3rd,1st,x5
Acceleration - Total,5th,1797.13,
AutoX - Average Points,3rd,68.28,
AutoX - Best Result,5th,1st,x3
AutoX - Total,5th,2116.65,
Business Presentation - Average Points,6th,62.43,
Business Presentation - Best Result,10th,2nd,x3
Business Presentation - Total,8th,1935.3,
Cost - Average Points,13th,75.76,
Cost - Best Result,10th,1st,x1
Cost - Total,8th,2348.45,
Endurance - Average Points,3rd,138.35,
Endurance - Best Result,4th,1st,x2
Endurance - Total,5th,4288.89,
Engineering Design - Average Points,6th,107.81,
Engineering Design - Best Result,6th,1st,x1
Engineering Design - Total,8th,3342.14,
Fuel - Average Points,3rd,50.91,
Fuel - Best Result,25th,2nd,x4
Fuel - Total,5th,1578.3,
Points - Average Points,4th,600.52,
Points - Total,5th,18616,
Skidpad - Average Points,3rd,44.17,
Skidpad - Best Result,5th,1st,x3
Skidpad - Total,6th,1369.17,
