Acceleration - Average Points,3rd,20.99,,
Acceleration - Average Points,7th,Vitoria-,0.7,
Acceleration - Best Result,1st,1st,1,
Acceleration - Best Result,7th,Vitoria-,9th,x1
Acceleration - Total,3rd,461.69,,
Acceleration - Total,9th,Vitoria-,3.5,
AutoX - Average Points,3rd,12.16,,
AutoX - Best Result,6th,7th,1,
AutoX - Total,3rd,267.44,,
Business Presentation - Average Points,1st,66.5,,
Business Presentation - Average Points,8th,Vitoria-,45.89,
Business Presentation - Best Result,2nd,1st,3,
Business Presentation - Best Result,10th,Vitoria-,15th,x1
Business Presentation - Total,2nd,1462.97,,
Business Presentation - Total,9th,Vitoria-,229.45,
Cost - Average Points,4th,77.26,,
Cost - Average Points,7th,Vitoria-,63.54,
Cost - Best Result,3rd,1st,1,
Cost - Best Result,8th,Vitoria-,10th,x1
Cost - Total,3rd,1699.66,,
Cost - Total,9th,Vitoria-,317.7,
Endurance - Average Points,3rd,26.66,,
Endurance - Best Result,5th,4th,1,
Endurance - Total,3rd,586.59,,
Engineering Design - Average Points,3rd,102.57,,
Engineering Design - Average Points,5th,Vitoria-,83.3,
Engineering Design - Best Result,3rd,3rd,1,
Engineering Design - Best Result,6th,Vitoria-,6th,x1
Engineering Design - Total,3rd,2256.6,,
Engineering Design - Total,9th,Vitoria-,416.5,
Fuel - Average Points,2nd,24.18,,
Fuel - Best Result,3rd,1st,2,
Fuel - Total,2nd,532.0,,
Points - Average Points,3rd,353.36,,
Points - Average Points,8th,Vitoria-,181.4,
Points - Total,3rd,7774,,
Points - Total,9th,Vitoria-,907,
Skidpad - Average Points,2nd,22.74,,
Skidpad - Best Result,3rd,3rd,1,
Skidpad - Total,2nd,500.34,,
