Rank,University,Lowest Place,#
1,Indian Institute of Technology Madras,1st,2
2,Thapar Institute of Engineering and Technology,1st,2
3,Dwarkadas. J. Sanghvi College of Engineering,1st,1
4,R.V.College of Engineering,1st,1
5,K. J. Somaiya College of Engineering,2nd,1
6,Nirma University,2nd,1
7,SRM Institute of Science and Technology - Kattankulathur,2nd,1
8,Delhi Technological University,3rd,1
9,Gujarat Technological University,3rd,1
10,Pune Vidyarti Griha's college of Engineering and Technology,3rd,1
11,Sinhgad College of Engineering Vadgaon,3rd,1
12,Vishwakarma Institute of Technology,3rd,1
13,Manipal Academy of Higher Education,4th,2
14,J.C. Bose University of Science and Technology YMCA,4th,1
15,Sardar Patel College of Engineering Mumbai,4th,1
16,Smt. Kashibai Navale College of Engineering,4th,1
17,VIT University - Chennai,4th,1
18,VIT University - Vellore,4th,1
19,Aligarh Muslim University,5th,1
20,MIT World Peace University,5th,1
21,SRM Institute of Science and Technology NCR Campus,5th,1
22,Birla Institute of Technology Mesra,6th,1
23,Indian Institute of Technology Kharagpur,6th,1
24,Pimpri Chinchwad College Of Engineering,6th,1
25,The National Institute of Engineering Mysore,6th,1
26,Vishwakarma Institute of Information Technology,6th,1
27,St. Vincent Pallotti College of Engineering and Technology,7th,1
28,Marathwada Mitra Mandal's College of Engineering,8th,1
29,Ramaiah Institute of Technology,8th,1
30,Thakur College of Engineering and Technology,9th,1
31,Charotar University of Science and Technology,10th,1
32,Kumaraguru College of Technology,11th,2
33,BITS Pilani KK Birla Goa Campus,11th,1
34,PSG College of Technology,11th,1
35,Shri G.S. Institute of Technology and Science Indore,12th,2
36,KLE Technological University,12th,1
37,Lovely Professional University,12th,1
38,Symbiosis Institute of Technology,12th,1
39,Hindustan Institute of Technology and Science,13th,1
40,Amity School of Engineering and Technology,14th,1
41,University Institute of Technology RGPV Bhopal,14th,1
42,Indian Institute of Technology Kanpur,15th,1
43,Netaji Subhas Institute of Technology,15th,1
44,Rajendra Mane College of Engineering and Technology,15th,1
45,Amrita School of Engineering Coimbatore,17th,1
46,D.Y. Patil School of Engineering Academy Ambi,17th,1
47,DIT University,17th,1
48,National Institute of Technology - Rourkela,18th,1
49,PES University,19th,1
50,Pillai College Of Engineering,19th,1
51,Kalinga Institute of Industrial Technology,20th,1
52,Chitkara University Punjab,21st,1
53,Fr Conceicao Rodrigues College of Engineering,21st,1
54,Guru Gobind Singh Indraprastha University,21st,1
55,PEC University of Technology,21st,1
56,Veer Surendra Sai University of Technology,22nd,1
57,Indian Institute of Technology Roorkee,23rd,1
58,MCT's Rajiv Gandhi Institute of Technology,23rd,1
59,National Institute of Technology - Kurukshetra,23rd,1
60,Dr. D. Y. Patil Institute Of Engineering and Technology,24th,2
61,Dr. Mahalingam College of Engineering and Technology,24th,1
62,G.V.Acharya Institute of Engineering & Technology,24th,1
63,K L University,24th,1
64,Nagesh Karajagi Orchid College Of Engineering & Technology,24th,1
65,Vidyavardhini's College of Engineering and Technology,25th,1
66,Birla Institute of Technology & Science  Pilani,26th,1
67,Sri Venkateswara College of Engineering,26th,1
68,M.H. Saboo Siddik College of Engineering,27th,1
69,Rajarambapu Institute of Technology,29th,1
70,RMD Sinhgad School of Engineering,29th,1
71,SRM Institute of Science and Technology - Ramapuram,29th,1
72,Rajarshi Shahu College Of Engineering,30th,1
73,TKM  College of Engineering,32nd,1
74,Kakatiya Institute of Technology and Science Warangal,33rd,1
75,National Institute of Technology - Karnataka,33rd,1
76,University of Delhi,33rd,1
77,Indira Gandhi Delhi Technical University for Women,34th,1
78,Amrutvahini College Of Engineering Sangamner,35th,1
79,Bhartiya Institute of Engineering and Technology,35th,1
80,Vasavi College of Engineering,35th,1
81,Bangalore Institute of Technology,36th,1
82,Nitte Meenakshi Institute of Technology,36th,1
83,Sardar Vallabhbhai National Institute of Technology,36th,1
84,Graphic Era University,37th,1
85,Saraswati College of Engineering,37th,1
86,AISSMS (All India Shri Shivaji Memorial Society's) College of Engineering,38th,1
87,Bharati Vidyapeeth College of Engineering,38th,1
88,MGM's Jawaharlal Nehru Engineering College,38th,1
89,Rayat Institute of Engineering and Information Technology,38th,1
90,Indian Institute of Technology Delhi,39th,1
91,Galgotias University,40th,1
92,Chaitanya Bharathi Institute of Technology,41st,1
93,Chandigarh University,41st,1
94,Indian Institute of Technology Dhanbad,41st,1
95,National Institute of Technology - Calicut,41st,1
96,NBN Sinhgad School Of Engineering,41st,1
97,HMR Institute of Technology & Management,42nd,1
98,Haldia Institute of Technology,45th,1
99,Lokmanya Tilak College of Engineering,46th,1
100,Madras Institute of Technology,47th,1
101,TSSM’s Bhivarabai Sawant College of Engineering & Research,51st,1
102,Laxmi Devi Institute of Engineering & Technology,59th,1
103,Indian Institute of Technology Bombay,70th,1
104,Manav Rachna International University,72nd,1
105,National Institute of Technology - Jamshedpur,74th,1
106,PES Institute of Technology,92nd,1
107,Acharya Institute of Technology,N/A,0
108,J.S.S. Academy of Technical Education Noida,N/A,0
109,P.E.S. Modern College of Engineering,N/A,0
110,Sinhgad Academy Of Engineering,N/A,0
