Rank,University,Lowest Place,#
1,Monash University,1st,1
2,University of Wollongong,1st,1
3,The University of Newcastle,2nd,1
4,University of Adelaide,3rd,1
5,University of Melbourne,3rd,1
6,RMIT University,4th,2
7,University of Queensland,4th,1
8,University of New South Wales,6th,1
9,Swinburne University of Technology,7th,1
10,University of Western Australia,7th,1
11,University of Technology Sydney,8th,2
12,University of Tasmania,8th,1
13,Queensland University of Technology,10th,1
14,University of South Australia,13th,1
