Rank,University,Lowest Place,#
1,Monash University,1st,2
2,University of Wollongong,1st,1
3,Swinburne University of Technology,3rd,1
4,University of Queensland,3rd,1
5,The University of Newcastle,4th,1
6,RMIT University,5th,3
7,University of Adelaide,5th,1
8,University of Melbourne,6th,1
9,University of Technology Sydney,6th,1
10,University of Tasmania,9th,1
11,Queensland University of Technology,N/A,0
12,University of New South Wales,N/A,0
13,University of South Australia,N/A,0
14,University of Western Australia,N/A,0
