Rank,University,Points
1,Monash University,133.93
2,Swinburne University of Technology,111.14
3,RMIT University,108.12
4,University of Queensland,106.21
5,University of New South Wales,103.03
6,University of Adelaide,102.72
7,University of Wollongong,99.32
8,University of Western Australia,93.7
9,University of Technology Sydney,84.63
10,University of Tasmania,84.6
11,The University of Newcastle,84.41
12,University of Melbourne,80.78
13,Queensland University of Technology,60.63
14,University of South Australia,58.47
