Rank,University,Lowest Place,#
1,Monash University,1st,2
2,University of Adelaide,1st,1
3,University of Queensland,1st,1
4,Queensland University of Technology,2nd,1
5,RMIT University,2nd,1
6,The University of Newcastle,2nd,1
7,University of Western Australia,2nd,1
8,Swinburne University of Technology,3rd,1
9,University of New South Wales,3rd,1
10,University of Technology Sydney,3rd,1
11,University of Wollongong,6th,1
12,University of Melbourne,7th,1
13,University of Tasmania,11th,1
14,University of South Australia,12th,1
