Rank,University,Lowest Place,#
1,University of Queensland,1st,4
2,RMIT University,1st,3
3,Griffith University,1st,1
4,Monash University,1st,1
5,University of Adelaide,1st,1
6,University of Tasmania,2nd,1
7,University of Western Australia,2nd,1
8,University of Technology Sydney,3rd,2
9,Curtin University,3rd,1
10,University of Wollongong,4th,1
11,Queensland University of Technology,5th,2
12,University of New South Wales,5th,1
13,University of Melbourne,6th,1
14,The University of Newcastle,8th,2
15,Swinburne University of Technology,9th,1
16,University of South Australia,13th,1
17,University of New South Wales - Australian Defence Force Academy,17th,1
