Rank,University,Lowest Place,#
1,Monash University,1st,2
2,University of Queensland,2nd,1
3,RMIT University,4th,1
4,University of Western Australia,4th,1
5,University of Melbourne,5th,2
6,Swinburne University of Technology,5th,1
7,University of New South Wales,5th,1
8,The University of Newcastle,6th,1
9,University of Adelaide,7th,1
10,University of Technology Sydney,8th,1
11,Queensland University of Technology,9th,1
12,University of Wollongong,10th,1
13,University of Tasmania,13th,1
14,University of South Australia,14th,1
