Rank,University,Lowest Place,#
1,Instituto Tecnológico de Chihuahua,17th,1
2,Universidad Nacional Autónoma de México,25th,1
3,Universidad Autónoma del Estado de México,26th,1
4,Universidad LaSalle,27th,1
5,Universidad Iberoamericana,28th,1
6,Universidad Panamericana Sede México,33rd,1
7,Escuela Superior de Ingeniería Automotriz (ESIA) Tlalnepa,37th,1
8,Instituto Politécnico Nacional,52nd,1
9,Escuela Superior de Ingeniería Mecánica y Electrica Unidad Politécnica Ticomán,61st,1
10,Unidad Profesional Interdisciplinaria en Ingeniería y Tecnologías Avanzadas or UPIITA,79th,1
11,ESIA San Luis Potosi,N/A,0
