Rank,University,Lowest Place,#
1,Universidad LaSalle,8th,1
2,Universidad Nacional Autónoma de México,11th,1
3,Instituto Tecnológico de Chihuahua,12th,1
4,Universidad Panamericana Sede México,22nd,1
5,Universidad Autónoma del Estado de México,28th,1
6,Escuela Superior de Ingeniería Mecánica y Electrica Unidad Politécnica Ticomán,35th,1
7,Escuela Superior de Ingeniería Automotriz (ESIA) Tlalnepa,37th,1
8,Universidad Iberoamericana,37th,1
9,Instituto Politécnico Nacional,50th,1
10,ESIA San Luis Potosi,56th,1
11,Unidad Profesional Interdisciplinaria en Ingeniería y Tecnologías Avanzadas or UPIITA,91st,1
