Rank,University,Points
1,Instituto Tecnológico de Chihuahua,876.46
2,Universidad Nacional Autónoma de México,792.14
3,Universidad Autónoma del Estado de México,535.0
4,Universidad Panamericana Sede México,300.0
5,Escuela Superior de Ingeniería Automotriz (ESIA) Tlalnepa,110.0
6,Universidad Iberoamericana,110.0
7,Universidad LaSalle,92.0
8,Instituto Politécnico Nacional,68.0
9,Unidad Profesional Interdisciplinaria en Ingeniería y Tecnologías Avanzadas or UPIITA,55.0
10,Escuela Superior de Ingeniería Mecánica y Electrica Unidad Politécnica Ticomán,20.0
11,ESIA San Luis Potosi,0.0
