Rank,University,Lowest Place,#
1,Universidad LaSalle,13th,1
2,Instituto Tecnológico de Chihuahua,30th,1
3,Universidad Nacional Autónoma de México,36th,1
4,ESIA San Luis Potosi,38th,1
5,Escuela Superior de Ingeniería Automotriz (ESIA) Tlalnepa,40th,1
6,Universidad Iberoamericana,41st,1
7,Universidad Panamericana Sede México,51st,1
8,Universidad Autónoma del Estado de México,78th,1
9,Escuela Superior de Ingeniería Mecánica y Electrica Unidad Politécnica Ticomán,N/A,0
10,Instituto Politécnico Nacional,N/A,0
11,Unidad Profesional Interdisciplinaria en Ingeniería y Tecnologías Avanzadas or UPIITA,N/A,0
