Rank,University,Points
1,Universidad LaSalle,726.0
2,Universidad Nacional Autónoma de México,202.75
3,Instituto Tecnológico de Chihuahua,195.06
4,Unidad Profesional Interdisciplinaria en Ingeniería y Tecnologías Avanzadas or UPIITA,168.0
5,Universidad Iberoamericana,164.0
6,Universidad Panamericana Sede México,152.38
7,Universidad Autónoma del Estado de México,144.5
8,Escuela Superior de Ingeniería Automotriz (ESIA) Tlalnepa,113.0
9,Escuela Superior de Ingeniería Mecánica y Electrica Unidad Politécnica Ticomán,76.0
10,Instituto Politécnico Nacional,67.5
11,ESIA San Luis Potosi,43.0
