Rank,University,Lowest Place,#
1,Universidad LaSalle,2nd,1
2,Instituto Tecnológico de Chihuahua,11th,1
3,Universidad Nacional Autónoma de México,18th,1
4,Universidad Autónoma del Estado de México,37th,1
5,ESIA San Luis Potosi,48th,1
6,Escuela Superior de Ingeniería Automotriz (ESIA) Tlalnepa,N/A,0
7,Escuela Superior de Ingeniería Mecánica y Electrica Unidad Politécnica Ticomán,N/A,0
8,Instituto Politécnico Nacional,N/A,0
9,Unidad Profesional Interdisciplinaria en Ingeniería y Tecnologías Avanzadas or UPIITA,N/A,0
10,Universidad Iberoamericana,N/A,0
11,Universidad Panamericana Sede México,N/A,0
