Rank,University,Lowest Place,#
1,Universidad Nacional Autónoma de México,18th,1
2,Universidad LaSalle,23rd,1
3,Instituto Tecnológico de Chihuahua,31st,1
4,Escuela Superior de Ingeniería Automotriz (ESIA) Tlalnepa,38th,1
5,Universidad Autónoma del Estado de México,40th,1
6,Universidad Iberoamericana,40th,1
7,Universidad Panamericana Sede México,40th,1
8,Escuela Superior de Ingeniería Mecánica y Electrica Unidad Politécnica Ticomán,N/A,0
9,ESIA San Luis Potosi,N/A,0
10,Instituto Politécnico Nacional,N/A,0
11,Unidad Profesional Interdisciplinaria en Ingeniería y Tecnologías Avanzadas or UPIITA,N/A,0
