Rank,University,Points
1,Ecole Nationale d'Ingénieurs de Metz,238.16
2,ESTACA - West (Ecole Supérieure des Techniques Aéronautiques et de Construction Automobile),138.11
3,ESTACA - Paris-Saclay (Ecole Supérieure des Techniques Aéronautiques et de Construction Automobile),76.45
4,University of Burgundy - ISAT,21.38
5,ECAM LaSalle - Campus de Lyon,0.0
