Rank,University,Points
1,University of Puerto Rico,478.79
2,Polytechnic University of Puerto Rico,174.44
3,Recinto Universitario de Mayagüez,137.3
4,Ana G. Méndez University - Gurabo,35.0
5,Universidad Interamericana de Puerto Rico,31.47
