Rank,University,Lowest Place,#
1,University of Puerto Rico,31st,1
2,Universidad Interamericana de Puerto Rico,44th,1
3,Recinto Universitario de Mayagüez,46th,1
4,Ana G. Méndez University - Gurabo,57th,1
5,Polytechnic University of Puerto Rico,81st,1
