Rank,University,Lowest Place,Number of Lowest Place
1,Universität Stuttgart,1.0,28
2,GFR DHBW Ravensburg &amp; Oregon State University,1.0,16
3,Monash University,1.0,11
4,Hochschule Esslingen,1.0,10
5,Technische Universität Graz,1.0,8
6,Cornell University,1.0,7
7,Centro Universitário da FEI,1.0,6
8,Fachhochschule Joanneum Graz,1.0,6
9,Sophia University,1.0,5
10,Texas A&amp;M University,1.0,5
11,RMIT University,1.0,4
12,University of Wollongong,1.0,4
13,École de Technologie Superieure,1.0,4
14,Georgia Institute of Technology,1.0,3
15,Hochschule Karlsruhe - Technik und Wirtschaft,1.0,3
16,Kyoto Institute of Technology,1.0,3
17,Rochester Institute of Technology,1.0,3
18,Technical University of Munich,1.0,3
19,University of Texas at Arlington,1.0,3
20,University of Toronto,1.0,3
21,University of Western Australia,1.0,3
22,Alma Mater Studiorum - Università di Bologna,1.0,2
23,Centro Universitário Facens,1.0,2
24,Czech Technical University in Prague,1.0,2
25,Escola de Engenharia de São Carlos da Universidade de São Paulo,1.0,2
26,Fachhochschule Coburg,1.0,2
27,Gujarat Technological University,1.0,2
28,Missouri University of Science and Technology,1.0,2
29,Osaka University,1.0,2
30,Politecnico di Milano,1.0,2
31,TU Delft,1.0,2
32,University of Illinois at Urbana-Champaign,1.0,2
33,University of Kansas,1.0,2
34,University of Wisconsin-Madison,1.0,2
35,Auburn University,1.0,1
36,Brno University of Technology,1.0,1
37,Cardiff University Wales,1.0,1
38,Chalmers University of Technology,1.0,1
39,Helsinki Metropolia University of Applied Sciences,1.0,1
40,Hochschule Darmstadt UAS,1.0,1
41,Hochschule für Angewandte Wissenschaften Hamburg,1.0,1
42,Indian Institute of Technology Madras,1.0,1
43,K. J. Somaiya College of Engineering,1.0,1
44,Kanazawa University,1.0,1
45,Kyoto University,1.0,1
46,Nagoya Institute of Technology,1.0,1
47,Nagoya University,1.0,1
48,San José State University,1.0,1
49,Tallinn TU UAS,1.0,1
50,The University of Akron,1.0,1
51,The University of Tokyo,1.0,1
52,Universitat Politécnica de Valéncia,1.0,1
53,University of Bath,1.0,1
54,University of Glasgow,1.0,1
55,University of Maryland,1.0,1
56,University of Michigan - Ann Arbor,1.0,1
57,University of Modena and Reggio Emilia,1.0,1
58,University of Sheffield,1.0,1
59,University of Washington,1.0,1
60,Wroclaw University of Technology,1.0,1
61,École Polytechnique de Montréal,1.0,1
62,Karlsruhe Institute of Technology,2.0,5
63,Friedrich-Alexander-Universität Erlangen-Nürnberg,2.0,3
64,Universidade Estadual de Campinas,2.0,3
65,University of Oklahoma,2.0,3
66,Yokohama National University,2.0,3
67,Edith Cowan University,2.0,2
68,Kanagawa Institute of Technology,2.0,2
69,Kokushikan University,2.0,2
70,Oxford Brookes University,2.0,2
71,Politecnico di Torino,2.0,2
72,Széchenyi István University,2.0,2
73,University Of Hertfordshire,2.0,2
74,University of Missouri,2.0,2
75,University of Queensland,2.0,2
76,Western University,2.0,2
77,Białystok University of Technology,2.0,1
78,Budapest University of Technology and Economics,2.0,1
79,COEP Technological University ,2.0,1
80,Curtin University,2.0,1
81,Delhi Technological University,2.0,1
82,Ecole Nationale d'Ingénieurs de Metz,2.0,1
83,Instituto Tecnológico de Buenos Aires,2.0,1
84,Lund University,2.0,1
85,Michigan State University,2.0,1
86,Oregon State University,2.0,1
87,Pennsylvania State University,2.0,1
88,Purdue University - West Lafayette,2.0,1
89,Rensselaer Polytechnic Institute,2.0,1
90,Shibaura Institute of Technology,2.0,1
91,SRM Institute of Science and Technology - Kattankulathur,2.0,1
92,Staffordshire University,2.0,1
93,Swinburne University of Technology,2.0,1
94,TAMK University of Applied Sciences,2.0,1
95,Technische Universität Berlin,2.0,1
96,Technische Universität Braunschweig,2.0,1
97,Technische Universität Darmstadt,2.0,1
98,Universidade Federal de Santa Maria,2.0,1
99,Universidade Federal do Rio Grande do Sul,2.0,1
100,Universidade Paulista,2.0,1
101,University of Birmingham,2.0,1
102,University of Florida,2.0,1
103,University of Melbourne,2.0,1
104,University of New South Wales,2.0,1
105,University of the West of England,2.0,1
106,Università degli Studi di Firenze,2.0,1
107,Università degli studi di Padova,2.0,1
108,Université Laval,2.0,1
109,Villanova University,2.0,1
110,Vishwakarma Institute of Technology,2.0,1
111,Doshisha University,3.0,3
112,California State Polytechnic University Pomona,3.0,2
113,Carleton University,3.0,2
114,Centro Federal de Educação Tecnológica de Minas Gerais,3.0,2
115,Fachhochschule München,3.0,2
116,University of Applied Sciences Ravensburg-Weingarten,3.0,2
117,University of Leeds,3.0,2
118,Aristotle University of Thessaloniki,3.0,1
119,ETH Zürich,3.0,1
120,Griffith University,3.0,1
121,Instituto Mauá de Tecnologia,3.0,1
122,Iowa State University,3.0,1
123,Karlstad University,3.0,1
124,KTH Royal Institute of Technology,3.0,1
125,Manipal Academy of Higher Education,3.0,1
126,Ostbayerische Technische Hochschule Regensburg,3.0,1
127,Technische Hochschule Mittelhessen,3.0,1
128,Thapar Institute of Engineering and Technology,3.0,1
129,The Ohio State University,3.0,1
130,Ulm University of Applied Sciences,3.0,1
131,Universidade Federal do Rio de Janeiro,3.0,1
132,University of Auckland,3.0,1
133,University of Canterbury,3.0,1
134,University of Malta,3.0,1
135,Università della Calabria,3.0,1
136,Universität Kassel,3.0,1
137,Virginia Polytechnic Institute and State University,3.0,1
138,VŠB - Technical University of Ostrava,3.0,1
139,Westsächsische Hochschule Zwickau,3.0,1
140,University of Cincinnati,4.0,5
141,Dwarkadas. J. Sanghvi College of Engineering,4.0,2
142,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),4.0,2
143,Tokyo Denki University,4.0,2
144,Tongji University,4.0,2
145,Universidade Federal de Minas Gerais,4.0,2
146,Brunel University London,4.0,1
147,Czech University of Life Sciences Prague,4.0,1
148,Escola Politècnica Superior d'Enginyeria de Manresa,4.0,1
149,Fachhochschule Hannover,4.0,1
150,Fachhochschule Stralsund,4.0,1
151,Kettering University,4.0,1
152,Kookmin University,4.0,1
153,Loughborough University,4.0,1
154,Queensland University of Technology,4.0,1
155,R.V.College of Engineering,4.0,1
156,Smt. Kashibai Navale College of Engineering,4.0,1
157,Technische Universität Wien,4.0,1
158,The University of Michigan-Dearborn,4.0,1
159,Tokyo City University,4.0,1
160,Toyohashi University of Technology,4.0,1
161,UAS Kempten,4.0,1
162,Universidad LaSalle,4.0,1
163,University of Aberdeen,4.0,1
164,University of Adelaide,4.0,1
165,University of Alberta,4.0,1
166,University of Minnesota Twin Cities,4.0,1
167,University of Seville,4.0,1
168,University of Sydney,4.0,1
169,University of Waterloo,4.0,1
170,University of West Bohemia,4.0,1
171,Universität Paderborn,4.0,1
172,West Virginia University,4.0,1
173,Western Washington University,4.0,1
174,Utsunomiya University,5.0,4
175,Drexel University,5.0,2
176,Rzeszów University of Technology,5.0,2
177,Technische Hochschule Ostwestfalen-Lippe,5.0,2
178,Aligarh Muslim University,5.0,1
179,Dartmouth College,5.0,1
180,Deakin University,5.0,1
181,Escola Politécnica da Universidade de São Paulo,5.0,1
182,Fachhochschule Konstanz,5.0,1
183,Ibaraki University,5.0,1
184,Kansas State University,5.0,1
185,Kobe University,5.0,1
186,Nihon Automobile College,5.0,1
187,Oakland University,5.0,1
188,PES University,5.0,1
189,Poznan University of Technology,5.0,1
190,Rutgers The State University of New Jersey,5.0,1
191,Shizuoka University,5.0,1
192,Tokai University,5.0,1
193,University of Alabama,5.0,1
194,University of California Los Angeles,5.0,1
195,University of Connecticut,5.0,1
196,University of Huddersfield,5.0,1
197,University of Malaga,5.0,1
198,University of North Carolina at Charlotte,5.0,1
199,University of Southampton,5.0,1
200,University of Toledo,5.0,1
201,VIT University - Chennai,5.0,1
202,Yıldız Technical University,5.0,1
203,North Carolina State University,6.0,3
204,UAS Würzburg-Schweinfurt,6.0,3
205,Clemson University,6.0,2
206,Lawrence Technological University,6.0,2
207,Meijo University,6.0,2
208,Technische Universität Bergakademie Freiberg,6.0,2
209,University of South Florida,6.0,2
210,Università di Pisa,6.0,2
211,Brown University,6.0,1
212,College of Science and Technology Nihon University,6.0,1
213,De Montfort University,6.0,1
214,Democritus University of Thrace,6.0,1
215,Heriot-Watt University,6.0,1
216,Hochschule Heilbronn,6.0,1
217,Hochschule RheinMain,6.0,1
218,Kanazawa Institute of Technology,6.0,1
219,Liverpool John Moores University,6.0,1
220,McGill University,6.0,1
221,Pimpri Chinchwad College Of Engineering,6.0,1
222,Ritsumeikan University,6.0,1
223,Saginaw Valley State University,6.0,1
224,Sardar Patel College of Engineering Mumbai,6.0,1
225,South Dakota School of Mines and Technology,6.0,1
226,Universidade de Lisboa - Instituto Superior Técnico,6.0,1
227,Universidade Federal de Itajubá - Itajubá,6.0,1
228,University of Louisville,6.0,1
229,University of New South Wales - Australian Defence Force Academy,6.0,1
230,University of Tasmania,6.0,1
231,University of Waikato,6.0,1
232,University of Wales Trinity Saint David,6.0,1
233,Vishwakarma Institute of Information Technology,6.0,1
234,California State University Northridge,7.0,2
235,Australian National University,7.0,1
236,Chiba University,7.0,1
237,Dr. D. Y. Patil Institute Of Engineering and Technology,7.0,1
238,Gadjah Mada University,7.0,1
239,Hochschule Pforzheim,7.0,1
240,Kingston University,7.0,1
241,Kinki University,7.0,1
242,Louisiana State University,7.0,1
243,National Technical University of Athens,7.0,1
244,National University of Singapore,7.0,1
245,Ostfalia University of Applied Sciences,7.0,1
246,PSG College of Technology,7.0,1
247,Queen's University Belfast,7.0,1
248,Rose-Hulman Institute of Technology,7.0,1
249,Shri G.S. Institute of Technology and Science Indore,7.0,1
250,South Dakota State University,7.0,1
251,Technische Hochschule Köln,7.0,1
252,The University of Newcastle,7.0,1
253,Universidade Estadual Paulista - Guaratinguetá,7.0,1
254,Universidade Federal do Ceará,7.0,1
255,Universitatea Transilvania din Braşov,7.0,1
256,University Carlos III of Madrid,7.0,1
257,University of Nebraska–Lincoln,7.0,1
258,University of Pittsburgh,7.0,1
259,Università degli Studi della Tuscia,7.0,1
260,Université du Québec à Trois-Rivières,7.0,1
261,University of California San Diego,8.0,3
262,Technion - Israel Institute of Technology,8.0,2
263,University of Maribor,8.0,2
264,Università degli Studi di Roma La Sapienza,8.0,2
265,Università degli Studi di Roma Tor Vergata,8.0,2
266,Ben-Gurion University of the Negev,8.0,1
267,Concordia University,8.0,1
268,Coventry University,8.0,1
269,Fachhochschule Aachen,8.0,1
270,Keio University,8.0,1
271,Kyushu Institute of Technology,8.0,1
272,Lancaster  University,8.0,1
273,Marathwada Mitra Mandal's College of Engineering,8.0,1
274,Massachusetts Institute of Technology,8.0,1
275,Michigan Technological University,8.0,1
276,Osaka City University,8.0,1
277,Shizuoka Institute of Science and Technology,8.0,1
278,Technische Hochschule Lübeck,8.0,1
279,Universidade Federal de São João del Rei,8.0,1
280,Universidade Federal Fluminense - Niterói,8.0,1
281,University of British Columbia - Vancouver,8.0,1
282,University of California Berkeley,8.0,1
283,University of Technology Sydney,8.0,1
284,University of Texas at Austin,8.0,1
285,University of Thessaly,8.0,1
286,Universität Bayreuth,8.0,1
