Rank,University,Wins
1,Universität Stuttgart,88
2,GFR DHBW Ravensburg &amp; Oregon State University,69
3,Technische Universität Graz,58
4,Monash University,50
5,Hochschule Esslingen,42
6,Fachhochschule Joanneum Graz,37
7,École de Technologie Superieure,36
8,Centro Universitário da FEI,33
9,Technical University of Munich,26
10,Cornell University,23
11,Sophia University,23
12,Fachhochschule Coburg,22
13,Karlsruhe Institute of Technology,22
14,Escola de Engenharia de São Carlos da Universidade de São Paulo,20
15,Rochester Institute of Technology,19
16,Missouri University of Science and Technology,18
17,University of Michigan - Ann Arbor,17
18,University of Western Australia,17
19,RMIT University,16
20,University of Wollongong,16
21,TU Delft,15
22,University of Wisconsin-Madison,15
23,Texas A&amp;M University,14
24,Hochschule Karlsruhe - Technik und Wirtschaft,13
25,University of Applied Sciences Ravensburg-Weingarten,13
26,University of Bath,13
27,University of Modena and Reggio Emilia,13
28,University of Texas at Arlington,13
29,Osaka University,12
30,Universidade Estadual de Campinas,12
31,Universitat Politécnica de Valéncia,12
32,Università degli studi di Padova,12
33,Czech Technical University in Prague,11
34,Oxford Brookes University,11
35,University of Illinois at Urbana-Champaign,11
36,University of Toronto,11
37,Centro Universitário Facens,10
38,Hochschule für Angewandte Wissenschaften Hamburg,10
39,Alma Mater Studiorum - Università di Bologna,9
40,Hochschule Darmstadt UAS,9
41,Kettering University,9
42,Kyoto Institute of Technology,9
43,University of Leeds,9
44,University of Queensland,9
45,Brno University of Technology,8
46,Gujarat Technological University,8
47,Technische Universität Berlin,8
48,Wroclaw University of Technology,8
49,Auburn University,7
50,Friedrich-Alexander-Universität Erlangen-Nürnberg,7
51,Georgia Institute of Technology,7
52,Michigan State University,7
53,The University of Akron,7
54,The University of Tokyo,7
55,Università degli Studi di Firenze,7
56,Edith Cowan University,6
57,Helsinki Metropolia University of Applied Sciences,6
58,Indian Institute of Technology Madras,6
59,Kokushikan University,6
60,Kyoto University,6
61,Nagoya Institute of Technology,6
62,Tokyo Denki University,6
63,University of Auckland,6
64,University Of Hertfordshire,6
65,University of Seville,6
66,Doshisha University,5
67,Dwarkadas. J. Sanghvi College of Engineering,5
68,Fachhochschule Konstanz,5
69,Kanagawa Institute of Technology,5
70,Ostbayerische Technische Hochschule Regensburg,5
71,Pennsylvania State University,5
72,Politecnico di Milano,5
73,San José State University,5
74,Technische Universität Braunschweig,5
75,Technische Universität Darmstadt,5
76,University of Kansas,5
77,Università di Pisa,5
78,Budapest University of Technology and Economics,4
79,California State Polytechnic University Pomona,4
80,Cardiff University Wales,4
81,Chalmers University of Technology,4
82,Fachhochschule Kiel,4
83,Nippon Institute of Technology,4
84,UAS Kempten,4
85,University of Birmingham,4
86,University of Maryland,4
87,University of Missouri,4
88,University of New South Wales,4
89,University of Sheffield,4
90,University of Strathclyde,4
91,University of Washington,4
92,Universität Kassel,4
93,Western University,4
94,École Polytechnique de Montréal,4
95,Centro Federal de Educação Tecnológica de Minas Gerais,3
96,Chiba University,3
97,Coventry University,3
98,Fachhochschule München,3
99,Fachhochschule Stralsund,3
100,Ibaraki University,3
101,Kanazawa University,3
102,Kobe University,3
103,Manipal Academy of Higher Education,3
104,Nagoya University,3
105,National University of Singapore,3
106,Oregon State University,3
107,Politecnico di Torino,3
108,R.V.College of Engineering,3
109,Tennessee Technological University,3
110,The Ohio State University,3
111,The University of Michigan-Dearborn,3
112,Tokai University,3
113,Tokyo City University,3
114,Ulm University of Applied Sciences,3
115,Universidade Paulista,3
116,University of Aberdeen,3
117,University of Alberta,3
118,University of Cincinnati,3
119,University of Florida,3
120,University of Oklahoma,3
121,Utsunomiya University,3
122,Virginia Polytechnic Institute and State University,3
123,VŠB - Technical University of Ostrava,3
124,Westsächsische Hochschule Zwickau,3
125,Yokohama National University,3
126,Białystok University of Technology,2
127,Carleton University,2
128,Clemson University,2
129,COEP Technological University ,2
130,Concordia University,2
131,Escola Politécnica da Universidade de São Paulo,2
132,Griffith University,2
133,Hochschule Heilbronn,2
134,Hochschule Niederrhein,2
135,K. J. Somaiya College of Engineering,2
136,Kennesaw State University,2
137,Loughborough University,2
138,McGill University,2
139,Meijo University,2
140,National Technical University of Athens,2
141,North Carolina State University,2
142,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),2
143,Ostfalia University of Applied Sciences,2
144,Queen's University Belfast,2
145,Rensselaer Polytechnic Institute,2
146,Rutgers The State University of New Jersey,2
147,Saginaw Valley State University,2
148,Shibaura Institute of Technology,2
149,Shizuoka University,2
150,Smt. Kashibai Navale College of Engineering,2
151,Swansea University,2
152,Swinburne University of Technology,2
153,Széchenyi István University,2
154,Technische Universität Wien,2
155,Tongji University,2
156,Toyohashi University of Technology,2
157,Universidad Autónoma del Estado de México,2
158,Universidad Simón Bolívar,2
159,Universidade Federal do Rio Grande do Sul,2
160,University Carlos III of Madrid,2
161,University of Adelaide,2
162,University of California Irvine,2
163,University of California Berkeley,2
164,University of Liverpool,2
165,University of Pittsburgh,2
166,University of the West of England,2
167,University of Thessaly,2
168,University of Waterloo,2
169,Università degli Studi di Parma,2
170,Università degli Studi di Roma La Sapienza,2
171,Vanderbilt University,2
172,Villanova University,2
173,Western Washington University,2
174,AGH University of Science and Technology,1
175,Aichi Institute of Technology,1
176,Ain Shams University,1
177,Aligarh Muslim University,1
178,Aristotle University of Thessaloniki,1
179,Beijing Institute of Technology,1
180,Birla Institute of Technology Mesra,1
181,Brunel University London,1
182,California Baptist University,1
183,California State Polytechnic University - San Luis Obispo,1
184,California State University Chico,1
185,California State University Northridge,1
186,Curtin University,1
187,Daido Institute of Technology,1
188,Duale Hochschule Baden-Württemberg Stuttgart,1
189,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,1
190,ETH Zürich,1
191,Gadjah Mada University,1
192,Gifu University,1
193,Guru Gobind Singh Indraprastha University,1
194,Harbin Institute of Technology at Weihai,1
195,Hiroshima University,1
196,Hochschule für Technik und Wirtschaft Berlin,1
197,Hochschule Mannheim,1
198,Hokkaido Automotive Engineering College,1
199,Institute of Technologists,1
200,Instituto Tecnológico de Buenos Aires,1
201,Instituto Tecnológico de Chihuahua,1
202,Kanazawa Institute of Technology,1
203,Kasetsart University,1
204,King Mongkut's University of Technology Thonburi,1
205,Kogakuin University,1
206,Kookmin University,1
207,Korea University of Technology and Education,1
208,Kurume Institute of Technology,1
209,Kyushu Institute of Technology,1
210,Lafayette College,1
211,Liaoning University of Technology,1
212,Liverpool John Moores University,1
213,Luleå University of Technology,1
214,Lund University,1
215,Moscow Polytechnic University,1
216,Nihon Automobile College,1
217,Niigata University,1
218,Northern Illinois University,1
219,Okayama University of Science,1
220,Okayama University,1
221,Osaka City University,1
222,Osaka Institute of Technology,1
223,Osaka Sangyo University,1
224,Otto-von-Guericke-Universität Magdeburg,1
225,Pimpri Chinchwad College Of Engineering,1
226,Poznan University of Technology,1
227,Purdue University - West Lafayette,1
228,Ritsumeikan University,1
229,Ryerson University,1
230,Saitama Institute of Technology,1
231,Sanyo-Onoda City University at Tokyo University of Science,1
232,Seikei University,1
233,Sepuluh Nopember Institute of Technology,1
234,Setsunan University,1
235,Shizuoka Institute of Science and Technology,1
236,Shizuoka Professional College of Automobile Technology,1
237,Siam University,1
238,Silesian University of Technology,1
239,Sinhgad College of Engineering Vadgaon,1
240,Slovak University of Technology in Bratislava,1
241,Sojo University,1
242,Southern Illinois University Carbondale,1
243,São Paulo State University - UNESP - Bauru,1
244,Tallinn TU UAS,1
245,TAMK University of Applied Sciences,1
246,Technion - Israel Institute of Technology,1
247,Technische Hochschule Mittelhessen,1
248,Technische Universität Bergakademie Freiberg,1
249,Thapar Institute of Engineering and Technology,1
250,Togliatti State University,1
251,Tokyo University of Agriculture and Technology,1
252,Tokyo University of Science,1
253,Toyota Technical College Nagoya,1
254,Universidad Europea de Madrid,1
255,Universidade Federal de Santa Maria,1
256,Universidade Federal do Rio de Janeiro,1
257,Universitas Negeri Yogyakarta,1
258,University College Dublin,1
259,University of Arizona,1
260,University of Brescia,1
261,University of Burgundy - ISAT,1
262,University of Calgary,1
263,University of Canterbury,1
264,University of Connecticut,1
265,University of Fukui,1
266,University of Glasgow,1
267,University of Huddersfield,1
268,University of Malaga,1
269,University of Malta,1
270,University of Manitoba,1
271,University of Maribor,1
272,University of Melbourne,1
273,University of Minnesota Twin Cities,1
274,University of Rijeka,1
275,University of Sussex,1
276,University of Sydney,1
277,University of Toledo,1
278,University of Ulster,1
279,University of Waikato,1
280,University of Wales Trinity Saint David,1
281,University of West Bohemia,1
282,University of Yamanashi,1
283,Università del Salento,1
284,Università della Calabria,1
285,Universität Paderborn,1
286,Université du Québec à Trois-Rivières,1
287,Wayne State University,1
288,Worcester Polytechnic Institute,1
289,Xiamen University of Technology,1
290,Yıldız Technical University,1
291,École Centrale de Lyon,1
