Rank,University,Wins
1,Technische Universität Graz,10
2,Hochschule Darmstadt UAS,5
3,GFR DHBW Ravensburg &amp; Oregon State University,4
4,École de Technologie Superieure,4
5,Hochschule Karlsruhe - Technik und Wirtschaft,3
6,Indian Institute of Technology Madras,3
7,Kettering University,3
8,Technische Universität Berlin,3
9,TU Delft,3
10,Ulm University of Applied Sciences,3
11,Centro Universitário da FEI,2
12,Gujarat Technological University,2
13,Hochschule Heilbronn,2
14,RMIT University,2
15,Swansea University,2
16,Széchenyi István University,2
17,Technical University of Munich,2
18,Universidade Estadual de Campinas,2
19,University of California Irvine,2
20,University Of Hertfordshire,2
21,University of Wisconsin-Madison,2
22,Università degli Studi di Parma,2
23,Universität Stuttgart,2
24,Villanova University,2
25,École Polytechnique de Montréal,2
26,Alma Mater Studiorum - Università di Bologna,1
27,Brno University of Technology,1
28,Budapest University of Technology and Economics,1
29,California Baptist University,1
30,California State Polytechnic University - San Luis Obispo,1
31,California State University Chico,1
32,Carleton University,1
33,Centro Universitário Facens,1
34,Coventry University,1
35,Escola de Engenharia de São Carlos da Universidade de São Paulo,1
36,Escola Politécnica da Universidade de São Paulo,1
37,Fachhochschule Joanneum Graz,1
38,Fachhochschule München,1
39,Friedrich-Alexander-Universität Erlangen-Nürnberg,1
40,Harbin Institute of Technology at Weihai,1
41,Hochschule Esslingen,1
42,Hochschule Mannheim,1
43,Hochschule Niederrhein,1
44,Hokkaido Automotive Engineering College,1
45,Kyoto Institute of Technology,1
46,Kyoto University,1
47,Lafayette College,1
48,Loughborough University,1
49,Monash University,1
50,Nagoya Institute of Technology,1
51,Nippon Institute of Technology,1
52,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),1
53,Ostfalia University of Applied Sciences,1
54,Rutgers The State University of New Jersey,1
55,São Paulo State University - UNESP - Bauru,1
56,Texas A&amp;M University,1
57,The University of Akron,1
58,Togliatti State University,1
59,Tokyo City University,1
60,Universidade Federal de Santa Maria,1
61,Universidade Federal do Rio Grande do Sul,1
62,Universidade Paulista,1
63,University College Dublin,1
64,University of Aberdeen,1
65,University of Applied Sciences Ravensburg-Weingarten,1
66,University of Bath,1
67,University of Burgundy - ISAT,1
68,University of California Berkeley,1
69,University of Huddersfield,1
70,University of Queensland,1
71,University of Ulster,1
72,University of Waterloo,1
73,University of Wollongong,1
74,Université du Québec à Trois-Rivières,1
75,Xiamen University of Technology,1
