Rank,University,#,Points
1,Universität Stuttgart,67,792.22
2,GFR DHBW Ravensburg &amp; Oregon State University,36,737.08
3,Universidad LaSalle,1,726.0
4,Monash University,32,704.62
5,Hochschule Esslingen,45,700.76
6,Technische Universität Graz,66,697.26
7,University of Wollongong,22,694.27
8,Yokohama National University,15,687.4
9,Cornell University,27,669.59
10,University of Western Australia,21,652.76
11,University of Texas at Arlington,29,647.41
12,Texas A&amp;M University,20,646.55
13,Instituto Tecnológico de Buenos Aires,1,646.0
14,Tallinn TU UAS,10,631.8
15,Centro Universitário da FEI,19,631.05
16,Griffith University,5,629.8
17,Osaka University,17,624.29
18,Rochester Institute of Technology,51,621.04
19,Fachhochschule Joanneum Graz,59,620.85
20,École de Technologie Superieure,40,618.6
21,University of Michigan - Ann Arbor,43,612.88
22,Czech Technical University in Prague,36,611.39
23,ETH Zürich,8,610.88
24,Kyoto Institute of Technology,13,610.31
25,Technical University of Munich,46,608.22
26,Nagoya University,13,607.0
27,Helsinki Metropolia University of Applied Sciences,24,600.92
28,University of Canterbury,4,599.0
29,Universitat Politécnica de Valéncia,22,598.82
30,Brno University of Technology,29,597.79
31,TU Delft,16,597.62
32,Edith Cowan University,12,593.75
33,Nihon Automobile College,10,593.7
34,Fachhochschule Coburg,48,593.46
35,RMIT University,26,590.65
36,Missouri University of Science and Technology,43,585.95
37,University of Wisconsin-Madison,36,584.33
38,Karlsruhe Institute of Technology,47,583.15
39,University of Washington,31,579.48
40,The University of Akron,49,578.98
41,Gujarat Technological University,5,576.6
42,Westsächsische Hochschule Zwickau,11,575.45
43,San José State University,21,569.33
44,University Of Hertfordshire,34,561.71
45,Kyoto University,16,554.31
46,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),24,551.29
47,Alma Mater Studiorum - Università di Bologna,25,547.8
48,Dartmouth College,17,546.71
49,Sophia University,28,545.5
50,University of Queensland,18,544.33
51,University of Florida,27,542.44
52,Auburn University,38,541.61
53,Hochschule für Angewandte Wissenschaften Hamburg,48,540.81
54,Széchenyi István University,20,540.7
55,University of Auckland,13,540.31
56,Chalmers University of Technology,22,536.64
57,University of Illinois at Urbana-Champaign,40,535.12
58,Friedrich-Alexander-Universität Erlangen-Nürnberg,39,534.72
59,Centro Universitário Facens,19,534.26
60,Technische Universität Braunschweig,16,533.31
61,Nagoya Institute of Technology,17,532.0
62,Michigan State University,35,530.71
63,Technische Universität Bergakademie Freiberg,10,530.3
64,Wroclaw University of Technology,31,530.13
65,Shibaura Institute of Technology,20,528.75
66,Ibaraki University,14,528.43
67,University of Bath,41,525.59
68,Kookmin University,16,524.69
69,Universität Kassel,21,523.1
70,Università degli studi di Padova,29,522.86
71,California State Polytechnic University Pomona,31,522.77
72,Hochschule Karlsruhe - Technik und Wirtschaft,35,522.34
73,Swinburne University of Technology,11,522.09
74,COEP Technological University ,2,521.5
75,Technische Universität Berlin,33,520.67
76,University of Melbourne,18,520.0
77,Fachhochschule Kiel,12,519.67
78,Chiba University,15,519.07
79,Technische Hochschule Mittelhessen,16,517.81
80,University of Tasmania,5,517.4
81,Georgia Institute of Technology,29,514.31
82,Clemson University,26,512.96
83,Utsunomiya University,17,512.18
84,Oregon State University,14,510.86
85,The Ohio State University,34,510.18
86,University of West Bohemia,10,509.2
87,Tokyo City University,17,505.82
88,University of Toronto,36,505.06
89,Oxford Brookes University,41,504.8
90,University of Kansas,42,503.83
91,National University of Singapore,16,503.38
92,University of Sydney,18,497.67
93,Western Washington University,18,496.61
94,University of Missouri,37,496.32
95,Ostbayerische Technische Hochschule Regensburg,32,495.72
96,Virginia Polytechnic Institute and State University,31,493.74
97,Tongji University,12,490.75
98,California State University Northridge,22,490.09
99,Curtin University,15,490.07
100,University of Applied Sciences Ravensburg-Weingarten,32,490.0
101,University of Oklahoma,31,489.52
102,Nippon Institute of Technology,11,488.27
103,Politecnico di Torino,19,487.42
104,University of New South Wales,20,486.05
105,Fachhochschule München,34,484.5
106,École Polytechnique de Montréal,30,484.13
107,University of Cincinnati,32,483.78
108,Universität Siegen,3,482.33
109,Fachhochschule Stralsund,35,481.29
110,Aristotle University of Thessaloniki,22,479.41
111,Escola de Engenharia de São Carlos da Universidade de São Paulo,15,476.2
112,Technische Universität Darmstadt,17,476.0
113,Vishwakarma Institute of Technology,2,474.5
114,The University of Tokyo,14,474.29
115,Technische Universität Wien,15,473.87
116,University of Waterloo,33,472.76
117,Kanazawa University,18,472.22
118,Budapest University of Technology and Economics,17,471.29
119,Beijing Institute of Technology,2,471.0
120,Politecnico di Milano,24,470.62
121,Université Laval,19,469.05
122,North Carolina State University,25,464.52
123,University of Toledo,39,464.26
124,Villanova University,12,462.42
125,Australian National University,6,457.83
126,Poznan University of Technology,11,457.36
127,University of Modena and Reggio Emilia,32,455.66
128,University of Maryland,21,454.43
129,Ben-Gurion University of the Negev,7,453.29
130,Kanagawa Institute of Technology,15,452.87
131,Universidade Estadual de Campinas,14,450.14
132,University of Minnesota Twin Cities,22,449.91
133,Tokai University,20,449.7
134,Toyohashi University of Technology,12,447.83
135,Doshisha University,16,447.38
136,Pennsylvania State University,27,447.26
137,Western University,34,447.15
138,University of Wales Trinity Saint David,10,444.3
139,Pimpri Chinchwad College Of Engineering,1,444.0
140,Cardiff University Wales,24,443.0
141,Białystok University of Technology,25,442.32
142,Purdue University - West Lafayette,29,442.31
143,Rose-Hulman Institute of Technology,12,442.08
144,Saginaw Valley State University,21,440.71
145,University of California Berkeley,15,440.67
146,Hope College,5,440.2
147,University of Adelaide,17,438.94
148,Universität Paderborn,35,438.43
149,Rensselaer Polytechnic Institute,32,437.62
150,King Mongkut's University of Technology Thonburi,8,436.0
151,Norwegian University of Science and Technology,4,435.75
152,Università degli Studi di Firenze,13,435.46
153,McGill University,26,434.54
154,Università della Calabria,11,432.64
155,Ostfalia University of Applied Sciences,13,432.62
156,University of Virginia,1,432.0
157,University of Waikato,10,430.8
158,Shizuoka University,16,429.75
159,Kobe University,15,429.33
