Rank,University,Wins
1,University of Applied Sciences Ravensburg-Weingarten,6
2,Universität Stuttgart,6
3,Osaka University,5
4,University of Bath,5
5,Università degli Studi di Firenze,5
6,Centro Universitário da FEI,4
7,Centro Universitário Facens,4
8,Fachhochschule Coburg,4
9,Hochschule Esslingen,4
10,Karlsruhe Institute of Technology,4
11,Kettering University,4
12,Rochester Institute of Technology,4
13,University of Strathclyde,4
14,University of Toronto,4
15,Doshisha University,3
16,Dwarkadas. J. Sanghvi College of Engineering,3
17,Oxford Brookes University,3
18,Tennessee Technological University,3
19,The University of Michigan-Dearborn,3
20,Tokyo Denki University,3
21,University of Cincinnati,3
22,University of New South Wales,3
23,Concordia University,2
24,Escola de Engenharia de São Carlos da Universidade de São Paulo,2
25,Fachhochschule Joanneum Graz,2
26,Fachhochschule Stralsund,2
27,GFR DHBW Ravensburg &amp; Oregon State University,2
28,Hochschule Karlsruhe - Technik und Wirtschaft,2
29,Kanagawa Institute of Technology,2
30,Kennesaw State University,2
31,Politecnico di Torino,2
32,UAS Kempten,2
33,Universidad Autónoma del Estado de México,2
34,Universidad Simón Bolívar,2
35,Universidade Estadual de Campinas,2
36,University Carlos III of Madrid,2
37,University of Alberta,2
38,University of Birmingham,2
39,University of Illinois at Urbana-Champaign,2
40,University of Leeds,2
41,University of Modena and Reggio Emilia,2
42,University of Wisconsin-Madison,2
43,Università di Pisa,2
44,Ain Shams University,1
45,Alma Mater Studiorum - Università di Bologna,1
46,California State Polytechnic University Pomona,1
47,Carleton University,1
48,Clemson University,1
49,Coventry University,1
50,Czech Technical University in Prague,1
51,Daido Institute of Technology,1
52,Edith Cowan University,1
53,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,1
54,Fachhochschule Konstanz,1
55,Friedrich-Alexander-Universität Erlangen-Nürnberg,1
56,Griffith University,1
57,Guru Gobind Singh Indraprastha University,1
58,Hochschule Niederrhein,1
59,Instituto Tecnológico de Chihuahua,1
60,K. J. Somaiya College of Engineering,1
61,Kanazawa University,1
62,Kookmin University,1
63,Kyoto Institute of Technology,1
64,Kyoto University,1
65,Loughborough University,1
66,Meijo University,1
67,Michigan State University,1
68,Monash University,1
69,Moscow Polytechnic University,1
70,National Technical University of Athens,1
71,Nippon Institute of Technology,1
72,Northern Illinois University,1
73,Otto-von-Guericke-Universität Magdeburg,1
74,Pennsylvania State University,1
75,Politecnico di Milano,1
76,R.V.College of Engineering,1
77,RMIT University,1
78,Ryerson University,1
79,Sinhgad College of Engineering Vadgaon,1
80,Smt. Kashibai Navale College of Engineering,1
81,Southern Illinois University Carbondale,1
82,Technical University of Munich,1
83,Technische Universität Berlin,1
84,Technische Universität Braunschweig,1
85,Technische Universität Wien,1
86,Thapar Institute of Engineering and Technology,1
87,TU Delft,1
88,Universidad Europea de Madrid,1
89,Universidade Federal do Rio de Janeiro,1
90,Universitat Politécnica de Valéncia,1
91,University of Aberdeen,1
92,University of Arizona,1
93,University of Brescia,1
94,University of Calgary,1
95,University of Connecticut,1
96,University of Florida,1
97,University Of Hertfordshire,1
98,University of Liverpool,1
99,University of Manitoba,1
100,University of Queensland,1
101,University of Rijeka,1
102,University of Sheffield,1
103,University of Thessaly,1
104,University of Wollongong,1
105,Università degli studi di Padova,1
106,Università degli Studi di Roma La Sapienza,1
107,Università del Salento,1
108,Università della Calabria,1
109,VŠB - Technical University of Ostrava,1
110,Wayne State University,1
