Rank,Year,Points
1,2022,984
2,2015,980
3,2019,962
4,2021,962
5,2008,961
6,2006,960
7,2017,959
8,2010,957
9,2022,955
10,2022,954
11,2011,954
12,2012,954
13,2005,953
14,2013,950
15,2012,949
16,2015,948
17,2002,948
18,2010,945
19,2014,945
20,2015,944
21,2019,944
22,2008,940
23,2019,939
24,2013,938
25,2008,938
26,2017,938
27,2017,938
28,2022,937
29,2002,936
30,2018,935
31,2016,933
32,2018,932
33,2021,931
34,2002,928
35,2005,928
36,2021,928
37,2015,928
38,2004,927
39,2007,925
40,1998,925
41,2012,925
42,2008,923
43,2022,922
44,2008,920
45,2009,919
46,2002,918
47,2006,918
48,2013,918
49,2009,917
50,2011,917
51,2014,917
52,2011,916
53,2017,916
54,2011,916
55,2014,916
56,2016,915
57,2022,915
58,2018,914
59,2001,913
60,2011,912
61,2008,911
62,2018,908
63,2007,908
64,2004,907
65,2013,906
66,2005,906
67,2001,904
68,2018,903
69,2006,903
70,2011,903
71,2001,902
72,2015,901
73,2013,899
74,2012,899
75,2001,899
76,2012,898
77,2009,896
78,2007,896
79,2015,895
80,2003,895
81,2006,894
82,2012,892
83,2019,892
84,2001,892
85,2011,892
86,2014,891
87,2014,890
88,2015,890
89,2002,890
90,2016,889
91,2009,889
92,2007,889
93,1996,888
94,1998,887
95,2013,887
96,2009,886
97,2018,886
98,2013,885
99,2019,885
100,2014,885
101,2007,885
102,2003,885
103,2014,884
104,2005,884
105,2019,884
106,2003,883
107,2011,883
108,2012,882
109,2019,882
110,2001,881
111,2014,881
112,2014,881
113,2011,878
114,2009,878
115,2016,878
116,2014,877
117,2007,877
118,2009,877
119,2022,876
120,2017,876
121,2003,876
122,2008,876
123,2010,875
124,2010,875
125,2016,873
126,2021,873
127,2021,872
128,2019,872
129,2016,871
130,2010,871
131,2017,871
132,2014,871
133,2019,871
134,2016,870
135,2003,869
136,2019,869
137,2002,869
138,2010,867
139,2019,866
140,2013,866
141,2008,866
142,2015,865
143,2011,865
144,2017,865
145,2011,864
146,2019,864
147,2017,864
148,2015,863
149,2020,863
150,2019,863
151,2012,863
152,2017,862
153,2012,862
154,2009,861
155,2019,860
156,2015,859
157,1995,859
158,2006,858
159,2011,858
160,2012,857
161,2012,857
162,2013,857
163,2017,856
164,2003,856
165,2019,856
166,1995,856
167,2019,856
168,1992,855
169,2019,854
170,2008,854
171,2010,854
172,2013,854
173,2005,854
174,2016,854
175,1999,853
176,2010,853
177,2018,853
178,2016,853
179,2009,853
180,2004,853
181,2022,853
182,1994,853
183,2021,852
184,2016,852
185,2013,851
186,2006,851
