Rank,University,Wins
1,GFR DHBW Ravensburg &amp; Oregon State University,9
2,Universität Stuttgart,8
3,Monash University,7
4,Karlsruhe Institute of Technology,6
5,University of Seville,6
6,Technische Universität Graz,5
7,Fachhochschule Konstanz,4
8,RMIT University,4
9,Rochester Institute of Technology,4
10,TU Delft,4
11,University of Auckland,4
12,Università degli studi di Padova,4
13,Escola de Engenharia de São Carlos da Universidade de São Paulo,3
14,Fachhochschule Joanneum Graz,3
15,National University of Singapore,3
16,Sophia University,3
17,The University of Tokyo,3
18,Universidade Estadual de Campinas,3
19,University of Bath,3
20,University of Missouri,3
21,University of Wisconsin-Madison,3
22,Università di Pisa,3
23,Western University,3
24,Alma Mater Studiorum - Università di Bologna,2
25,Georgia Institute of Technology,2
26,Hochschule Darmstadt UAS,2
27,Hochschule Esslingen,2
28,Hochschule Karlsruhe - Technik und Wirtschaft,2
29,Ibaraki University,2
30,Oxford Brookes University,2
31,UAS Kempten,2
32,University of Pittsburgh,2
33,Vanderbilt University,2
34,Virginia Polytechnic Institute and State University,2
35,VŠB - Technical University of Ostrava,2
36,Wroclaw University of Technology,2
37,École de Technologie Superieure,2
38,Aligarh Muslim University,1
39,Birla Institute of Technology Mesra,1
40,Brno University of Technology,1
41,Cardiff University Wales,1
42,Centro Federal de Educação Tecnológica de Minas Gerais,1
43,Centro Universitário da FEI,1
44,Centro Universitário Facens,1
45,Chalmers University of Technology,1
46,Clemson University,1
47,Cornell University,1
48,Curtin University,1
49,Doshisha University,1
50,Duale Hochschule Baden-Württemberg Stuttgart,1
51,Edith Cowan University,1
52,Escola Politécnica da Universidade de São Paulo,1
53,Fachhochschule Coburg,1
54,Fachhochschule München,1
55,Fachhochschule Stralsund,1
56,Gadjah Mada University,1
57,Helsinki Metropolia University of Applied Sciences,1
58,Hochschule für Technik und Wirtschaft Berlin,1
59,Indian Institute of Technology Madras,1
60,Instituto Tecnológico de Buenos Aires,1
61,Kanagawa Institute of Technology,1
62,Kettering University,1
63,Kobe University,1
64,Luleå University of Technology,1
65,Manipal Academy of Higher Education,1
66,McGill University,1
67,Michigan State University,1
68,Nagoya University,1
69,Nippon Institute of Technology,1
70,Oregon State University,1
71,Ostbayerische Technische Hochschule Regensburg,1
72,Ostfalia University of Applied Sciences,1
73,Politecnico di Torino,1
74,Queen's University Belfast,1
75,Shizuoka University,1
76,Slovak University of Technology in Bratislava,1
77,Swinburne University of Technology,1
78,Tallinn TU UAS,1
79,Technical University of Munich,1
80,Technische Hochschule Mittelhessen,1
81,Technische Universität Bergakademie Freiberg,1
82,Technische Universität Berlin,1
83,Technische Universität Braunschweig,1
84,Texas A&amp;M University,1
85,The Ohio State University,1
86,The University of Akron,1
87,University of Aberdeen,1
88,University of Adelaide,1
89,University of Alberta,1
90,University of Applied Sciences Ravensburg-Weingarten,1
91,University of California Berkeley,1
92,University Of Hertfordshire,1
93,University of Illinois at Urbana-Champaign,1
94,University of Leeds,1
95,University of Liverpool,1
96,University of Malaga,1
97,University of Michigan - Ann Arbor,1
98,University of Queensland,1
99,University of Sussex,1
100,University of Sydney,1
101,University of Texas at Arlington,1
102,University of the West of England,1
103,University of Thessaly,1
104,University of Wales Trinity Saint David,1
105,University of Washington,1
106,University of Western Australia,1
107,University of Wollongong,1
108,Università degli Studi di Firenze,1
109,Università degli Studi di Roma La Sapienza,1
110,Universität Kassel,1
111,Universität Paderborn,1
112,Westsächsische Hochschule Zwickau,1
113,Worcester Polytechnic Institute,1
114,Yokohama National University,1
115,École Polytechnique de Montréal,1
