Rank,University,Lowest Place,#
1,Universität Stuttgart,1st,20
2,GFR DHBW Ravensburg & Oregon State University,1st,18
3,GFR DHBW Ravensburg & Oregon State University,1st,18
4,Missouri University of Science and Technology,1st,10
5,Monash University,1st,10
6,Hochschule Esslingen,1st,8
7,Centro Universitário da FEI,1st,7
8,Sophia University,1st,7
9,Technical University of Munich,1st,7
10,Technische Universität Graz,1st,7
11,Czech Technical University in Prague,1st,6
12,Kyoto Institute of Technology,1st,6
13,University of Texas at Arlington,1st,6
14,Texas A&M University,1st,5
15,Texas A&M University,1st,5
16,Universitat Politécnica de Valéncia,1st,5
17,University of Western Australia,1st,5
18,École de Technologie Superieure,1st,5
19,Fachhochschule Coburg,1st,4
20,Hochschule für Angewandte Wissenschaften Hamburg,1st,4
21,University of Wollongong,1st,4
22,Fachhochschule Joanneum Graz,1st,3
23,University of Kansas,1st,3
24,University of Modena and Reggio Emilia,1st,3
25,Università degli studi di Padova,1st,3
26,Budapest University of Technology and Economics,1st,2
27,Centro Universitário Facens,1st,2
28,Cornell University,1st,2
29,Karlsruhe Institute of Technology,1st,2
30,Nagoya Institute of Technology,1st,2
31,Osaka University,1st,2
32,Rochester Institute of Technology,1st,2
33,Technische Universität Darmstadt,1st,2
34,Tokai University,1st,2
35,University of Leeds,1st,2
36,University of Michigan - Ann Arbor,1st,2
37,University of Toronto,1st,2
38,Yokohama National University,1st,2
39,Aichi Institute of Technology,1st,1
40,Auburn University,1st,1
41,Białystok University of Technology,1st,1
42,Cardiff University Wales,1st,1
43,Cardiff University Wales,1st,1
44,Centro Federal de Educação Tecnológica de Minas Gerais,1st,1
45,Chiba University,1st,1
46,Coventry University,1st,1
47,Doshisha University,1st,1
48,Edith Cowan University,1st,1
49,Escola de Engenharia de São Carlos da Universidade de São Paulo,1st,1
50,Georgia Institute of Technology,1st,1
51,Gifu University,1st,1
52,Gujarat Technological University,1st,1
53,Helsinki Metropolia University of Applied Sciences,1st,1
54,Hiroshima University,1st,1
55,Hochschule Darmstadt UAS,1st,1
56,Hochschule Darmstadt UAS,1st,1
57,Hochschule Karlsruhe,1st,1
58,Institute of Technologists,1st,1
59,Kanazawa Institute of Technology,1st,1
60,Kasetsart University,1st,1
61,King Mongkut's University of Technology Thonburi,1st,1
62,Kobe University,1st,1
63,Kogakuin University,1st,1
64,Korea University of Technology and Education,1st,1
65,Kurume Institute of Technology,1st,1
66,Kyoto University,1st,1
67,Kyushu Institute of Technology,1st,1
68,Liaoning University of Technology,1st,1
69,Manipal Academy of Higher Education,1st,1
70,Meijo University,1st,1
71,Nagoya University,1st,1
72,Nihon Automobile College,1st,1
73,Niigata University,1st,1
74,Nippon Institute of Technology,1st,1
75,Okayama University of Science,1st,1
76,Okayama University,1st,1
77,Osaka Institute of Technology,1st,1
78,Osaka Metropolitan University,1st,1
79,Osaka Sangyo University,1st,1
80,Pimpri Chinchwad College Of Engineering,1st,1
81,RMIT University,1st,1
82,Saitama Institute of Technology,1st,1
83,San José State University,1st,1
84,Sanyo-Onoda City University at Tokyo University of Science,1st,1
85,Seikei University,1st,1
86,Sepuluh Nopember Institute of Technology,1st,1
87,Setsunan University,1st,1
88,Shibaura Institute of Technology,1st,1
89,Shizuoka Institute of Science and Technology,1st,1
90,Shizuoka Professional College of Automobile Technology,1st,1
91,Shizuoka University,1st,1
92,Siam University,1st,1
93,Sojo University,1st,1
94,Széchenyi István University,1st,1
95,Technische Universität Berlin,1st,1
96,Technische Universität Braunschweig,1st,1
97,The Ohio State University,1st,1
98,Tokyo City University,1st,1
99,Tokyo University of Agriculture and Technology,1st,1
100,Tokyo University of Science,1st,1
101,Tongji University,1st,1
102,Toyohashi University of Technology,1st,1
103,Toyota Technical College Nagoya,1st,1
104,TU Delft,1st,1
105,Universitas Negeri Yogyakarta,1st,1
106,University of Fukui,1st,1
107,University of Glasgow,1st,1
108,University of Illinois at Urbana-Champaign,1st,1
109,University of Missouri,1st,1
110,University of Queensland,1st,1
111,University of Sheffield,1st,1
112,University of Wisconsin-Madison,1st,1
113,University of Yamanashi,1st,1
114,Università degli Studi di Firenze,1st,1
115,Universität Kassel,1st,1
116,Utsunomiya University,1st,1
117,Vishwakarma Institute of Information Technology,1st,1
118,Vishwakarma Institute of Technology,1st,1
119,Curtin University,2nd,5
120,Swinburne University of Technology,2nd,3
121,The University of Tokyo,2nd,3
122,École Polytechnique de Montréal,2nd,3
123,Aristotle University of Thessaloniki,2nd,2
