Rank,University,Lowest Place,Number of Lowest Place
1,GFR DHBW Ravensburg &amp; Oregon State University,1.0,9
2,Universität Stuttgart,1.0,8
3,Monash University,1.0,7
4,Karlsruhe Institute of Technology,1.0,6
5,University of Seville,1.0,6
6,Technische Universität Graz,1.0,5
7,Fachhochschule Konstanz,1.0,4
8,RMIT University,1.0,4
9,Rochester Institute of Technology,1.0,4
10,TU Delft,1.0,4
11,University of Auckland,1.0,4
12,Università degli studi di Padova,1.0,4
13,Escola de Engenharia de São Carlos da Universidade de São Paulo,1.0,3
14,Fachhochschule Joanneum Graz,1.0,3
15,National University of Singapore,1.0,3
16,Sophia University,1.0,3
17,The University of Tokyo,1.0,3
18,Universidade Estadual de Campinas,1.0,3
19,University of Bath,1.0,3
20,University of Missouri,1.0,3
21,University of Wisconsin-Madison,1.0,3
22,Università di Pisa,1.0,3
23,Western University,1.0,3
24,Alma Mater Studiorum - Università di Bologna,1.0,2
25,Georgia Institute of Technology,1.0,2
26,Hochschule Darmstadt UAS,1.0,2
27,Hochschule Esslingen,1.0,2
28,Hochschule Karlsruhe - Technik und Wirtschaft,1.0,2
29,Ibaraki University,1.0,2
30,Oxford Brookes University,1.0,2
31,UAS Kempten,1.0,2
32,University of Pittsburgh,1.0,2
33,Vanderbilt University,1.0,2
34,Virginia Polytechnic Institute and State University,1.0,2
35,VŠB - Technical University of Ostrava,1.0,2
36,Wroclaw University of Technology,1.0,2
37,École de Technologie Superieure,1.0,2
38,Aligarh Muslim University,1.0,1
39,Birla Institute of Technology Mesra,1.0,1
40,Brno University of Technology,1.0,1
41,Cardiff University Wales,1.0,1
42,Centro Federal de Educação Tecnológica de Minas Gerais,1.0,1
43,Centro Universitário da FEI,1.0,1
44,Centro Universitário Facens,1.0,1
45,Chalmers University of Technology,1.0,1
46,Clemson University,1.0,1
47,Cornell University,1.0,1
48,Curtin University,1.0,1
49,Doshisha University,1.0,1
50,Duale Hochschule Baden-Württemberg Stuttgart,1.0,1
51,Edith Cowan University,1.0,1
52,Escola Politécnica da Universidade de São Paulo,1.0,1
53,Fachhochschule Coburg,1.0,1
54,Fachhochschule München,1.0,1
55,Fachhochschule Stralsund,1.0,1
56,Gadjah Mada University,1.0,1
57,Helsinki Metropolia University of Applied Sciences,1.0,1
58,Hochschule für Technik und Wirtschaft Berlin,1.0,1
59,Indian Institute of Technology Madras,1.0,1
60,Instituto Tecnológico de Buenos Aires,1.0,1
61,Kanagawa Institute of Technology,1.0,1
62,Kettering University,1.0,1
63,Kobe University,1.0,1
64,Luleå University of Technology,1.0,1
65,Manipal Academy of Higher Education,1.0,1
66,McGill University,1.0,1
67,Michigan State University,1.0,1
68,Nagoya University,1.0,1
69,Nippon Institute of Technology,1.0,1
70,Oregon State University,1.0,1
71,Ostbayerische Technische Hochschule Regensburg,1.0,1
72,Ostfalia University of Applied Sciences,1.0,1
73,Politecnico di Torino,1.0,1
74,Queen's University Belfast,1.0,1
75,Shizuoka University,1.0,1
76,Slovak University of Technology in Bratislava,1.0,1
77,Swinburne University of Technology,1.0,1
78,Tallinn TU UAS,1.0,1
79,Technical University of Munich,1.0,1
80,Technische Hochschule Mittelhessen,1.0,1
81,Technische Universität Bergakademie Freiberg,1.0,1
82,Technische Universität Berlin,1.0,1
83,Technische Universität Braunschweig,1.0,1
84,Texas A&amp;M University,1.0,1
85,The Ohio State University,1.0,1
86,The University of Akron,1.0,1
87,University of Aberdeen,1.0,1
88,University of Adelaide,1.0,1
89,University of Alberta,1.0,1
90,University of Applied Sciences Ravensburg-Weingarten,1.0,1
91,University of California Berkeley,1.0,1
92,University Of Hertfordshire,1.0,1
93,University of Illinois at Urbana-Champaign,1.0,1
94,University of Leeds,1.0,1
95,University of Liverpool,1.0,1
96,University of Malaga,1.0,1
97,University of Michigan - Ann Arbor,1.0,1
98,University of Queensland,1.0,1
99,University of Sussex,1.0,1
100,University of Sydney,1.0,1
101,University of Texas at Arlington,1.0,1
102,University of the West of England,1.0,1
103,University of Thessaly,1.0,1
104,University of Wales Trinity Saint David,1.0,1
105,University of Washington,1.0,1
106,University of Western Australia,1.0,1
107,University of Wollongong,1.0,1
108,Università degli Studi di Firenze,1.0,1
109,Università degli Studi di Roma La Sapienza,1.0,1
110,Universität Kassel,1.0,1
111,Universität Paderborn,1.0,1
112,Westsächsische Hochschule Zwickau,1.0,1
113,Worcester Polytechnic Institute,1.0,1
114,Yokohama National University,1.0,1
115,École Polytechnique de Montréal,1.0,1
116,Ain Shams University,2.0,3
117,Missouri University of Science and Technology,2.0,3
118,University of Toronto,2.0,3
119,Budapest University of Technology and Economics,2.0,2
120,California State Polytechnic University Pomona,2.0,2
121,Kanazawa University,2.0,2
122,Loughborough University,2.0,2
123,Politecnico di Milano,2.0,2
124,R.V.College of Engineering,2.0,2
125,Technische Universiteit Eindhoven,2.0,2
126,Universidade Federal do Rio Grande do Sul,2.0,2
127,University of Canterbury,2.0,2
128,University of Saskatchewan,2.0,2
129,AGH University of Science and Technology,2.0,1
130,Aristotle University of Thessaloniki,2.0,1
131,Brunel University London,2.0,1
132,Centro integrado de Manufatura e Tecnologia - SENAICIMATEC,2.0,1
133,Coventry University,2.0,1
134,Dartmouth College,2.0,1
135,Florida Atlantic University,2.0,1
136,Friedrich-Alexander-Universität Erlangen-Nürnberg,2.0,1
137,Hochschule Mannheim,2.0,1
138,Indian Institute of Technology Kharagpur,2.0,1
139,Kanazawa Institute of Technology,2.0,1
140,Kinki University,2.0,1
141,Kyoto University,2.0,1
142,National Technical University of Athens,2.0,1
143,Osaka University,2.0,1
144,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),2.0,1
145,Purdue University - West Lafayette,2.0,1
146,Queen's University,2.0,1
147,Ryerson University,2.0,1
148,Shibaura Institute of Technology,2.0,1
149,SRM Institute of Science and Technology - Kattankulathur,2.0,1
150,Technische Universität Wien,2.0,1
151,Universidade Estadual Paulista - Guaratinguetá,2.0,1
152,Universitat Politécnica de Valéncia,2.0,1
153,Universitatea Transilvania din Braşov,2.0,1
154,University of Arizona,2.0,1
155,University of Glasgow,2.0,1
156,University of Manitoba,2.0,1
157,University of Maryland,2.0,1
158,University of Melbourne,2.0,1
159,University of New South Wales - Australian Defence Force Academy,2.0,1
160,University of Ottawa,2.0,1
161,University of South Florida,2.0,1
162,University of Warwick,2.0,1
163,Università della Calabria,2.0,1
164,Yıldız Technical University,2.0,1
165,Auburn University,3.0,3
166,Hochschule für Angewandte Wissenschaften Hamburg,3.0,3
167,University of Maribor,3.0,3
168,Lawrence Technological University,3.0,2
169,Universidade Federal de Minas Gerais,3.0,2
170,Białystok University of Technology,3.0,1
171,Birla Institute of Science and Technology Pilani - Dubai,3.0,1
172,College of Science and Technology Nihon University,3.0,1
173,Czech Technical University in Prague,3.0,1
174,Delhi Technological University,3.0,1
175,Fachhochschule Aachen,3.0,1
176,Griffith University,3.0,1
177,Heriot-Watt University,3.0,1
178,Hochschule Pforzheim,3.0,1
179,Iowa State University,3.0,1
180,Karlstad University,3.0,1
181,Kyoto Institute of Technology,3.0,1
182,Meijo University,3.0,1
183,Otto-von-Guericke-Universität Magdeburg,3.0,1
184,Rensselaer Polytechnic Institute,3.0,1
185,Rheinisch-Westfälische Technische Hochschule Aachen,3.0,1
186,Ritsumeikan University,3.0,1
187,Rose-Hulman Institute of Technology,3.0,1
188,Rzeszów University of Technology,3.0,1
189,Saginaw Valley State University,3.0,1
190,Santa Clara University,3.0,1
191,South Dakota School of Mines and Technology,3.0,1
192,Taylor's University,3.0,1
193,Technion - Israel Institute of Technology,3.0,1
194,Technische Universität Darmstadt,3.0,1
