Rank,University,Wins
1,GFR DHBW Ravensburg &amp; Oregon State University,18
2,Universität Stuttgart,18
3,Missouri University of Science and Technology,10
4,Monash University,10
5,Hochschule Esslingen,8
6,Centro Universitário da FEI,7
7,Sophia University,7
8,Technical University of Munich,7
9,Technische Universität Graz,7
10,Texas A&amp;M University,5
11,University of Texas at Arlington,5
12,University of Western Australia,5
13,École de Technologie Superieure,5
14,Fachhochschule Coburg,4
15,Hochschule für Angewandte Wissenschaften Hamburg,4
16,Kyoto Institute of Technology,4
17,University of Wollongong,4
18,Czech Technical University in Prague,3
19,Fachhochschule Joanneum Graz,3
20,Universitat Politécnica de Valéncia,3
21,University of Kansas,3
22,Centro Universitário Facens,2
23,Cornell University,2
24,Karlsruhe Institute of Technology,2
25,Nagoya Institute of Technology,2
26,Osaka University,2
27,Rochester Institute of Technology,2
28,Technische Universität Darmstadt,2
29,Tokai University,2
30,University of Leeds,2
31,University of Michigan - Ann Arbor,2
32,University of Toronto,2
33,Università degli studi di Padova,2
34,Yokohama National University,2
35,Aichi Institute of Technology,1
36,Auburn University,1
37,Białystok University of Technology,1
38,Budapest University of Technology and Economics,1
39,Cardiff University Wales,1
40,Centro Federal de Educação Tecnológica de Minas Gerais,1
41,Chiba University,1
42,COEP Technological University ,1
43,Doshisha University,1
44,Escola de Engenharia de São Carlos da Universidade de São Paulo,1
45,Georgia Institute of Technology,1
46,Gifu University,1
47,Gujarat Technological University,1
48,Helsinki Metropolia University of Applied Sciences,1
49,Hiroshima University,1
50,Hochschule Darmstadt UAS,1
51,Institute of Technologists,1
52,Kanazawa Institute of Technology,1
53,Kasetsart University,1
54,King Mongkut's University of Technology Thonburi,1
55,Kobe University,1
56,Kogakuin University,1
57,Korea University of Technology and Education,1
58,Kurume Institute of Technology,1
59,Kyoto University,1
60,Kyushu Institute of Technology,1
61,Liaoning University of Technology,1
62,Manipal Academy of Higher Education,1
63,Meijo University,1
64,Nagoya University,1
65,Nihon Automobile College,1
66,Niigata University,1
67,Nippon Institute of Technology,1
68,Okayama University of Science,1
69,Okayama University,1
70,Osaka City University,1
71,Osaka Institute of Technology,1
72,Osaka Sangyo University,1
73,Pimpri Chinchwad College Of Engineering,1
74,RMIT University,1
75,Saitama Institute of Technology,1
76,San José State University,1
77,Sanyo-Onoda City University at Tokyo University of Science,1
78,Seikei University,1
79,Sepuluh Nopember Institute of Technology,1
80,Setsunan University,1
81,Shibaura Institute of Technology,1
82,Shizuoka Institute of Science and Technology,1
83,Shizuoka Professional College of Automobile Technology,1
84,Shizuoka University,1
85,Siam University,1
86,Sojo University,1
87,Technische Universität Braunschweig,1
88,Tokyo City University,1
89,Tokyo University of Agriculture and Technology,1
90,Tokyo University of Science,1
91,Tongji University,1
92,Toyohashi University of Technology,1
93,Toyota Technical College Nagoya,1
94,TU Delft,1
95,Universitas Negeri Yogyakarta,1
96,University of Fukui,1
97,University of Glasgow,1
98,University of Illinois at Urbana-Champaign,1
99,University of Missouri,1
100,University of Queensland,1
101,University of Sheffield,1
102,University of Wisconsin-Madison,1
103,University of Yamanashi,1
104,Università degli Studi di Firenze,1
105,Universität Kassel,1
106,Utsunomiya University,1
