Rank,University,#,Position
1,Instituto Tecnológico de Buenos Aires,1,2.0
2,Universität Stuttgart,67,3.93
3,Universidad LaSalle,1,4.0
4,COEP Technological University ,2,5.5
5,Gujarat Technological University,5,6.0
6,Pimpri Chinchwad College Of Engineering,1,6.0
7,University of Wollongong,22,6.23
8,Shri G.S. Institute of Technology and Science Indore,1,7.0
9,Universidade Federal de Minas Gerais,7,7.0
10,Universidade Federal do Ceará,1,7.0
11,Monash University,32,7.06
12,Griffith University,5,7.6
13,Marathwada Mitra Mandal's College of Engineering,1,8.0
14,GFR DHBW Ravensburg &amp; Oregon State University,36,8.08
15,Technische Universität Graz,66,8.36
16,Yokohama National University,15,8.4
17,Universidade Federal do Rio de Janeiro,12,8.5
18,Swinburne University of Technology,11,8.55
19,Hochschule Esslingen,45,8.56
20,Edith Cowan University,12,9.08
21,University of Western Australia,21,9.1
22,RMIT University,26,9.73
23,University of Melbourne,18,9.78
24,University of Auckland,13,9.92
25,Nirma University,1,10.0
26,University of Canterbury,4,10.0
27,Vishwakarma Institute of Technology,2,10.0
28,Centro Federal de Educação Tecnológica de Minas Gerais,13,10.08
29,University of Sydney,18,10.17
30,Escola Politécnica da Universidade de São Paulo,9,10.22
31,Osaka University,17,10.35
32,University of Queensland,18,10.56
33,Czech Technical University in Prague,36,10.69
34,Curtin University,15,10.8
35,ETH Zürich,8,11.0
36,Thakur College of Engineering and Technology,1,11.0
37,Tokyo Metropolitan College of Industrial Technology,1,11.0
38,Nagoya University,13,11.23
39,University of New South Wales,20,11.25
40,Australian National University,6,11.33
41,University of Adelaide,17,11.35
42,University of Tasmania,5,11.4
43,Universitat Politécnica de Valéncia,22,11.41
44,Universidade Paulista,11,11.45
45,Universidade Tecnológica Federal do Paraná,5,11.6
46,PES University,3,11.67
47,Universidade Estadual de Campinas,14,11.71
48,Fachhochschule Joanneum Graz,59,11.83
49,Sardar Patel College of Engineering Mumbai,3,12.0
50,Fachhochschule Coburg,48,12.29
51,VŠB - Technical University of Ostrava,11,12.36
52,Universidade Federal de São João del Rei,5,12.4
53,TU Delft,16,12.5
54,Technical University of Munich,46,12.52
55,Széchenyi István University,20,12.8
56,Universidade Federal do Rio Grande do Sul,6,12.83
57,Centro Universitário Facens,19,12.89
58,Democritus University of Thrace,2,13.0
59,University of Waikato,10,13.0
60,Queensland University of Technology,10,13.1
61,Universidade Federal de Santa Maria,10,13.3
62,MIT World Peace University,3,13.33
63,Kyoto Institute of Technology,13,13.46
64,Karlsruhe Institute of Technology,47,13.57
65,Centro Universitário da FEI,19,13.63
66,Tallinn TU UAS,10,13.7
67,Instituto Mauá de Tecnologia,11,13.91
68,Ben-Gurion University of the Negev,7,14.14
69,University of Texas at Arlington,29,14.17
70,Universidade Federal Fluminense - Niterói,11,14.18
71,Escola de Engenharia de São Carlos da Universidade de São Paulo,15,14.4
72,Universidade Paulista - Sorocaba,2,14.5
73,University of New South Wales - Australian Defence Force Academy,14,14.57
74,Brno University of Technology,29,14.66
75,Nihon Automobile College,10,14.7
76,University Of Hertfordshire,34,14.74
77,KLE Technological University,1,15.0
78,Netaji Subhas Institute of Technology,1,15.0
79,Westsächsische Hochschule Zwickau,11,15.0
80,Friedrich-Alexander-Universität Erlangen-Nürnberg,39,15.1
81,Technische Hochschule Mittelhessen,16,15.12
82,University of Technology Sydney,11,15.27
83,Kyoto University,16,15.31
84,Alma Mater Studiorum - Università di Bologna,25,15.36
85,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),24,15.38
