Rank,University,Lowest Place,Number of Lowest Place
1,GFR DHBW Ravensburg &amp; Oregon State University,1.0,18
2,Universität Stuttgart,1.0,18
3,Missouri University of Science and Technology,1.0,10
4,Monash University,1.0,10
5,Hochschule Esslingen,1.0,8
6,Centro Universitário da FEI,1.0,7
7,Sophia University,1.0,7
8,Technical University of Munich,1.0,7
9,Technische Universität Graz,1.0,7
10,Texas A&amp;M University,1.0,5
11,University of Texas at Arlington,1.0,5
12,University of Western Australia,1.0,5
13,École de Technologie Superieure,1.0,5
14,Fachhochschule Coburg,1.0,4
15,Hochschule für Angewandte Wissenschaften Hamburg,1.0,4
16,Kyoto Institute of Technology,1.0,4
17,University of Wollongong,1.0,4
18,Czech Technical University in Prague,1.0,3
19,Fachhochschule Joanneum Graz,1.0,3
20,Universitat Politécnica de Valéncia,1.0,3
21,University of Kansas,1.0,3
22,Centro Universitário Facens,1.0,2
23,Cornell University,1.0,2
24,Karlsruhe Institute of Technology,1.0,2
25,Nagoya Institute of Technology,1.0,2
26,Osaka University,1.0,2
27,Rochester Institute of Technology,1.0,2
28,Technische Universität Darmstadt,1.0,2
29,Tokai University,1.0,2
30,University of Leeds,1.0,2
31,University of Michigan - Ann Arbor,1.0,2
32,University of Toronto,1.0,2
33,Università degli studi di Padova,1.0,2
34,Yokohama National University,1.0,2
35,Aichi Institute of Technology,1.0,1
36,Auburn University,1.0,1
37,Białystok University of Technology,1.0,1
38,Budapest University of Technology and Economics,1.0,1
39,Cardiff University Wales,1.0,1
40,Centro Federal de Educação Tecnológica de Minas Gerais,1.0,1
41,Chiba University,1.0,1
42,COEP Technological University ,1.0,1
43,Doshisha University,1.0,1
44,Escola de Engenharia de São Carlos da Universidade de São Paulo,1.0,1
45,Georgia Institute of Technology,1.0,1
46,Gifu University,1.0,1
47,Gujarat Technological University,1.0,1
48,Helsinki Metropolia University of Applied Sciences,1.0,1
49,Hiroshima University,1.0,1
50,Hochschule Darmstadt UAS,1.0,1
51,Institute of Technologists,1.0,1
52,Kanazawa Institute of Technology,1.0,1
53,Kasetsart University,1.0,1
54,King Mongkut's University of Technology Thonburi,1.0,1
55,Kobe University,1.0,1
56,Kogakuin University,1.0,1
57,Korea University of Technology and Education,1.0,1
58,Kurume Institute of Technology,1.0,1
59,Kyoto University,1.0,1
60,Kyushu Institute of Technology,1.0,1
61,Liaoning University of Technology,1.0,1
62,Manipal Academy of Higher Education,1.0,1
63,Meijo University,1.0,1
64,Nagoya University,1.0,1
65,Nihon Automobile College,1.0,1
66,Niigata University,1.0,1
67,Nippon Institute of Technology,1.0,1
68,Okayama University of Science,1.0,1
69,Okayama University,1.0,1
70,Osaka City University,1.0,1
71,Osaka Institute of Technology,1.0,1
72,Osaka Sangyo University,1.0,1
73,Pimpri Chinchwad College Of Engineering,1.0,1
74,RMIT University,1.0,1
75,Saitama Institute of Technology,1.0,1
76,San José State University,1.0,1
77,Sanyo-Onoda City University at Tokyo University of Science,1.0,1
78,Seikei University,1.0,1
79,Sepuluh Nopember Institute of Technology,1.0,1
80,Setsunan University,1.0,1
81,Shibaura Institute of Technology,1.0,1
82,Shizuoka Institute of Science and Technology,1.0,1
83,Shizuoka Professional College of Automobile Technology,1.0,1
84,Shizuoka University,1.0,1
85,Siam University,1.0,1
86,Sojo University,1.0,1
87,Technische Universität Braunschweig,1.0,1
88,Tokyo City University,1.0,1
89,Tokyo University of Agriculture and Technology,1.0,1
90,Tokyo University of Science,1.0,1
91,Tongji University,1.0,1
92,Toyohashi University of Technology,1.0,1
93,Toyota Technical College Nagoya,1.0,1
94,TU Delft,1.0,1
95,Universitas Negeri Yogyakarta,1.0,1
96,University of Fukui,1.0,1
97,University of Glasgow,1.0,1
98,University of Illinois at Urbana-Champaign,1.0,1
99,University of Missouri,1.0,1
100,University of Queensland,1.0,1
101,University of Sheffield,1.0,1
102,University of Wisconsin-Madison,1.0,1
103,University of Yamanashi,1.0,1
104,Università degli Studi di Firenze,1.0,1
105,Universität Kassel,1.0,1
106,Utsunomiya University,1.0,1
107,Curtin University,2.0,5
108,Swinburne University of Technology,2.0,3
109,The University of Tokyo,2.0,3
110,University of Modena and Reggio Emilia,2.0,3
111,École Polytechnique de Montréal,2.0,3
112,Brno University of Technology,2.0,2
113,ETH Zürich,2.0,2
114,Friedrich-Alexander-Universität Erlangen-Nürnberg,2.0,2
115,Politecnico di Milano,2.0,2
116,Politecnico di Torino,2.0,2
117,Technische Universität Berlin,2.0,2
118,The University of Akron,2.0,2
119,University of Applied Sciences Ravensburg-Weingarten,2.0,2
120,University of Oklahoma,2.0,2
121,Alma Mater Studiorum - Università di Bologna,2.0,1
122,Delhi Technological University,2.0,1
123,Edith Cowan University,2.0,1
124,Fachhochschule München,2.0,1
125,Instituto Mauá de Tecnologia,2.0,1
126,Loughborough University,2.0,1
127,Michigan State University,2.0,1
128,North Carolina State University,2.0,1
129,Oregon State University,2.0,1
130,Oxford Brookes University,2.0,1
131,Pennsylvania State University,2.0,1
132,Smt. Kashibai Navale College of Engineering,2.0,1
133,South Dakota School of Mines and Technology,2.0,1
134,SRM Institute of Science and Technology - Kattankulathur,2.0,1
135,Széchenyi István University,2.0,1
136,Tallinn TU UAS,2.0,1
137,UAS Kempten,2.0,1
138,University College London,2.0,1
139,University of Auckland,2.0,1
140,University of Bath,2.0,1
141,University of Birmingham,2.0,1
142,University of Canterbury,2.0,1
143,University of Cincinnati,2.0,1
144,University of Maribor,2.0,1
145,University of New South Wales,2.0,1
146,University of the West of England,2.0,1
147,University of Waterloo,2.0,1
148,Virginia Polytechnic Institute and State University,2.0,1
149,VŠB - Technical University of Ostrava,2.0,1
150,Wroclaw University of Technology,2.0,1
151,Lawrence Technological University,3.0,4
152,Kanazawa University,3.0,3
153,University of Maryland,3.0,3
154,Hochschule Karlsruhe - Technik und Wirtschaft,3.0,2
155,Kokushikan University,3.0,2
156,Universidade Federal de Minas Gerais,3.0,2
157,Universidade Paulista,3.0,2
158,University of Melbourne,3.0,2
159,Westsächsische Hochschule Zwickau,3.0,2
160,Carleton University,3.0,1
161,Chalmers University of Technology,3.0,1
162,Coventry University,3.0,1
163,Fachhochschule Aachen,3.0,1
164,Fachhochschule Hannover,3.0,1
165,Ibaraki University,3.0,1
166,Indian Institute of Technology Madras,3.0,1
167,K. J. Somaiya College of Engineering,3.0,1
168,Kettering University,3.0,1
169,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),3.0,1
170,PES University,3.0,1
171,Purdue University - West Lafayette,3.0,1
172,Queensland University of Technology,3.0,1
173,Rutgers The State University of New Jersey,3.0,1
174,The University of Michigan-Dearborn,3.0,1
175,The University of Newcastle,3.0,1
176,Tokyo Denki University,3.0,1
177,Tokyo Institute of Technology,3.0,1
178,UAS Würzburg-Schweinfurt,3.0,1
179,Universidade Estadual de Campinas,3.0,1
180,Universidade Federal do Rio de Janeiro,3.0,1
181,University of Aberdeen,3.0,1
182,University of Florida,3.0,1
183,University of Seville,3.0,1
184,Western University,3.0,1
185,University of Sydney,4.0,3
186,Ecole Nationale d'Ingénieurs de Metz,4.0,2
187,Lund University,4.0,2
188,University of Washington,4.0,2
189,AGH University of Science and Technology,4.0,1
190,California State Polytechnic University - San Luis Obispo,4.0,1
191,California State Polytechnic University Pomona,4.0,1
192,Colorado State University,4.0,1
193,Drexel University,4.0,1
194,Escola Politécnica da Universidade de São Paulo,4.0,1
195,Luleå University of Technology,4.0,1
196,National Technical University of Athens,4.0,1
197,Oregon Institute of Technology,4.0,1
198,Ostbayerische Technische Hochschule Regensburg,4.0,1
199,Rensselaer Polytechnic Institute,4.0,1
200,Sardar Patel College of Engineering Mumbai,4.0,1
201,TAMK University of Applied Sciences,4.0,1
202,The Ohio State University,4.0,1
203,Universidade de Lisboa - Instituto Superior Técnico,4.0,1
204,Universidade Paulista - Sorocaba,4.0,1
205,University of Connecticut,4.0,1
206,University of Huddersfield,4.0,1
207,University of Toledo,4.0,1
208,Yıldız Technical University,4.0,1
209,Iowa State University,5.0,3
210,Università di Pisa,5.0,2
211,California State University Northridge,5.0,1
212,Democritus University of Thrace,5.0,1
213,Duale Hochschule Baden-Württemberg Ravensburg,5.0,1
214,Dwarkadas. J. Sanghvi College of Engineering,5.0,1
215,Fachhochschule Konstanz,5.0,1
216,Fachhochschule Stralsund,5.0,1
217,Griffith University,5.0,1
218,Kanagawa Institute of Technology,5.0,1
219,KTH Royal Institute of Technology,5.0,1
220,Manchester Metropolitan University,5.0,1
221,McGill University,5.0,1
222,Sheffield Hallam University,5.0,1
223,Technische Hochschule Mittelhessen,5.0,1
224,Technische Universität Bergakademie Freiberg,5.0,1
225,Technische Universität Wien,5.0,1
