Rank,University,Lowest Place,Number of Lowest Place
61,Università degli studi di Padova,1.0,1
62,Westsächsische Hochschule Zwickau,1.0,1
63,École Polytechnique de Montréal,1.0,1
64,University of Bath,2.0,4
65,Czech Technical University in Prague,2.0,3
66,Wroclaw University of Technology,2.0,3
67,Curtin University,2.0,2
68,Hochschule Darmstadt UAS,2.0,2
69,Nagoya University,2.0,2
70,Rutgers The State University of New Jersey,2.0,2
71,Swinburne University of Technology,2.0,2
72,Białystok University of Technology,2.0,1
73,Centro Federal de Educação Tecnológica de Minas Gerais,2.0,1
74,Chalmers University of Technology,2.0,1
75,Fachhochschule Hannover,2.0,1
76,K. J. Somaiya College of Engineering,2.0,1
77,Kanagawa Institute of Technology,2.0,1
78,Kokushikan University,2.0,1
79,McGill University,2.0,1
80,Missouri University of Science and Technology,2.0,1
81,Oregon State University,2.0,1
82,Purdue University - West Lafayette,2.0,1
83,Queen's University Belfast,2.0,1
84,SRM Institute of Science and Technology - Kattankulathur,2.0,1
85,Tallinn TU UAS,2.0,1
86,Technische Universität Berlin,2.0,1
87,Texas A&amp;M University,2.0,1
88,Thapar Institute of Engineering and Technology,2.0,1
89,The Ohio State University,2.0,1
90,The University of Akron,2.0,1
91,Tokyo Denki University,2.0,1
92,University of Florida,2.0,1
93,University of Maribor,2.0,1
94,University of Missouri,2.0,1
95,University of Modena and Reggio Emilia,2.0,1
96,University of Strathclyde,2.0,1
97,Università degli Studi di Roma La Sapienza,2.0,1
98,Università di Pisa,2.0,1
99,Virginia Polytechnic Institute and State University,2.0,1
100,Western University,2.0,1
101,Yokohama National University,2.0,1
102,Fachhochschule München,3.0,4
103,Centro Universitário Facens,3.0,3
104,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),3.0,2
105,Ostbayerische Technische Hochschule Regensburg,3.0,2
106,Toyohashi University of Technology,3.0,2
107,University of Toronto,3.0,2
108,Universität Paderborn,3.0,2
109,Aristotle University of Thessaloniki,3.0,1
110,California State Polytechnic University - San Luis Obispo,3.0,1
111,Delhi Technological University,3.0,1
112,Griffith University,3.0,1
113,Gujarat Technological University,3.0,1
114,Harbin Institute of Technology at Weihai,3.0,1
115,Ibaraki University,3.0,1
116,Instituto Mauá de Tecnologia,3.0,1
117,Kanazawa Institute of Technology,3.0,1
118,Marche Polytechnic University,3.0,1
119,Nagoya Institute of Technology,3.0,1
120,National Technical University of Athens,3.0,1
121,Northern Illinois University,3.0,1
122,Universidade Federal do Rio Grande do Sul,3.0,1
123,University Carlos III of Madrid,3.0,1
124,University of Canterbury,3.0,1
125,University of Cincinnati,3.0,1
126,University of Glasgow,3.0,1
127,University of Maryland,3.0,1
128,University of Melbourne,3.0,1
129,University of Queensland,3.0,1
130,Università degli Studi di Firenze,3.0,1
131,Università della Calabria,3.0,1
132,Universität Bayreuth,3.0,1
133,Vishwakarma Institute of Technology,3.0,1
134,VŠB - Technical University of Ostrava,3.0,1
135,Western Washington University,3.0,1
136,University of Thessaly,4.0,3
137,Fachhochschule Coburg,4.0,2
138,Széchenyi István University,4.0,2
139,Universidade Federal de Santa Maria,4.0,2
140,University of New South Wales,4.0,2
141,Brigham Young University,4.0,1
142,Brunel University London,4.0,1
143,Doshisha University,4.0,1
144,Ecole Nationale d'Ingénieurs de Metz,4.0,1
145,Escola Politècnica Superior d'Enginyeria de Manresa,4.0,1
146,Fachhochschule Stralsund,4.0,1
147,Gifu University,4.0,1
148,Hochschule Niederrhein,4.0,1
149,Instituto Tecnológico de Buenos Aires,4.0,1
150,J.C. Bose University of Science and Technology YMCA,4.0,1
151,Keio University,4.0,1
152,Kettering University,4.0,1
153,Kyoto Institute of Technology,4.0,1
154,Lehigh University,4.0,1
155,Luleå University of Technology,4.0,1
156,Manipal Academy of Higher Education,4.0,1
157,National University of Singapore,4.0,1
158,North Carolina State University,4.0,1
159,Osaka Institute of Technology,4.0,1
160,Politecnico di Torino,4.0,1
161,Queen's University,4.0,1
162,Sardar Patel College of Engineering Mumbai,4.0,1
163,Smt. Kashibai Navale College of Engineering,4.0,1
164,South Dakota School of Mines and Technology,4.0,1
165,Technische Universität Bergakademie Freiberg,4.0,1
166,The University of Michigan-Dearborn,4.0,1
167,Tongji University,4.0,1
168,UAS Würzburg-Schweinfurt,4.0,1
169,Universidade Federal de Itajubá - Itajubá,4.0,1
170,Universidade Federal de Minas Gerais,4.0,1
171,Universidade Federal do Rio de Janeiro,4.0,1
172,University of Birmingham,4.0,1
173,University of California Berkeley,4.0,1
174,University of Manitoba,4.0,1
175,University of New South Wales - Australian Defence Force Academy,4.0,1
176,Università del Salento,4.0,1
177,Université Laval,4.0,1
178,Utsunomiya University,4.0,1
