uni,date,event,total
Alma Mater Studiorum - Università di Bologna,2022,Spain,922
Universität Stuttgart,2016,Michigan,922
TU Delft,2008,Germany,920
Politecnico di Milano,2019,Italy,920
Universität Stuttgart,2009,Germany,919
University of Western Australia,2006,Australia,918
Centro Universitário da FEI,2013,Brasil,918
University of Toronto,2002,United Kingdom,918
Universität Stuttgart,2022,East,917
GFR DHBW Ravensburg &amp; Oregon State University,2015,Austria,917
The University of Tokyo,2009,Japan,917
Technische Universität Graz,2014,Italy,917
Helsinki Metropolia University of Applied Sciences,2011,Hungary,917
Monash University,2014,Australia,916
Centro Universitário da FEI,2011,Brasil,916
Texas A&amp;M University,2017,Lincoln,916
École de Technologie Superieure,2011,California,916
Hochschule Darmstadt UAS,2022,Czech Republic,915
Fachhochschule Coburg,2016,Italy,915
Hochschule Esslingen,2021,Germany,914
Universität Stuttgart,2018,East,914
Georgia Institute of Technology,2001,United Kingdom,913
GFR DHBW Ravensburg &amp; Oregon State University,2014,Germany,912
Universität Stuttgart,2011,Italy,912
Universität Stuttgart,2018,Spain,912
Universität Stuttgart,2009,Italy,912
Technische Universität Braunschweig,2008,Germany,911
Universität Stuttgart,2007,Italy,908
GFR DHBW Ravensburg &amp; Oregon State University,2010,Michigan,908
Technische Universität Graz,2018,Italy,908
RMIT University,2004,United Kingdom,907
GFR DHBW Ravensburg &amp; Oregon State University,2013,Germany,906
Cornell University,2005,Michigan,906
Cornell University,2001,Michigan,904
Universität Stuttgart,2016,Spain,904
Karlsruhe Institute of Technology,2011,Hungary,903
GFR DHBW Ravensburg &amp; Oregon State University,2018,Spain,903
Fachhochschule Joanneum Graz,2006,Italy,903
Universität Stuttgart,2017,Michigan,902
Rochester Institute of Technology,2001,Australia,902
Hochschule für Angewandte Wissenschaften Hamburg,2015,Czech Republic,901
Universität Stuttgart,2007,Germany,900
Monash University,2012,Australia,899
École de Technologie Superieure,2001,United Kingdom,899
University of Washington,2013,Lincoln,899
Kyoto Institute of Technology,2012,Japan,898
Hochschule Esslingen,2013,Hungary,898
Technische Universität Graz,2009,Italy,896
Universität Stuttgart,2008,United Kingdom,896
University of Western Australia,2007,Australia,896
University of Wollongong,2003,Michigan,895
Monash University,2015,Australia,895
Technische Universität Graz,2006,Italy,894
Sophia University,2011,Japan,892
Universität Stuttgart,2012,Italy,892
University of Leeds,2001,United Kingdom,892
Universität Stuttgart,2019,Michigan,892
Nagoya University,2014,Japan,891
University of Western Australia,2002,Australia,890
Technical University of Munich,2014,Hungary,890
San José State University,2015,Lincoln,890
Universität Stuttgart,2018,Germany,889
Monash University,2009,Australia,889
University of Bath,2016,Czech Republic,889
TU Delft,2007,United Kingdom,889
RMIT University,2006,Michigan,888
University of Texas at Arlington,1996,Michigan,888
Universität Stuttgart,2013,Italy,887
University of Texas at Arlington,1998,Michigan,887
Fachhochschule Coburg,2018,East,886
Karlsruhe Institute of Technology,2011,Italy,886
Rochester Institute of Technology,2009,California,886
Technische Universität Graz,2019,Michigan,885
Universität Stuttgart,2015,Germany,885
Hochschule Esslingen,2014,Hungary,885
University of Toronto,2003,United Kingdom,885
Karlsruhe Institute of Technology,2013,Hungary,885
Sophia University,2007,Japan,885
University of Toronto,2005,United Kingdom,884
Fachhochschule Joanneum Graz,2019,Austria,884
University of Kansas,2014,Lincoln,884
Hochschule für Angewandte Wissenschaften Hamburg,2011,Hungary,883
University of Missouri,2003,Michigan,883
Hochschule Esslingen,2019,Germany,882
GFR DHBW Ravensburg &amp; Oregon State University,2011,Germany,882
Osaka University,2012,Japan,882
University of Wollongong,2001,Australia,881
Kyoto University,2014,Japan,881
Edith Cowan University,2014,Australia,881
Technische Universität Graz,2018,Germany,881
Universität Stuttgart,2012,Germany,880
RMIT University,2007,Australia,880
Yokohama National University,2011,Japan,878
Escola de Engenharia de São Carlos da Universidade de São Paulo,2016,Brasil,878
Centro Universitário da FEI,2009,Brasil,878
Oregon State University,2009,California,877
Hochschule für Angewandte Wissenschaften Hamburg,2014,Italy,877
University of Leeds,2001,Australia,877
University of Wisconsin-Madison,2007,Michigan,877
GFR DHBW Ravensburg &amp; Oregon State University,2014,Michigan,877
Missouri University of Science and Technology,2008,Virginia,876
Michigan State University,2003,Michigan,876
Universität Stuttgart,2007,United Kingdom,876
Gujarat Technological University,2022,India,876
Wroclaw University of Technology,2017,Italy,876
Rochester Institute of Technology,2010,California,875
Osaka University,2010,Japan,875
Fachhochschule Joanneum Graz,2021,Netherlands,874
University of Modena and Reggio Emilia,2021,Italy,873
Brno University of Technology,2016,Czech Republic,873
Universitat Politécnica de Valéncia,2021,Austria,872
University of Modena and Reggio Emilia,2019,United Kingdom,872
Universität Stuttgart,2011,United Kingdom,872
Universität Stuttgart,2021,East,872
Monash University,2010,Australia,871
Technische Universität Graz,2016,Michigan,871
Wroclaw University of Technology,2019,Czech Republic,871
Technische Universität Graz,2017,Spain,871
University of Auckland,2014,Australia,871
GFR DHBW Ravensburg &amp; Oregon State University,2016,Austria,870
Rochester Institute of Technology,2002,Australia,869
École de Technologie Superieure,2019,Canada,869
Fachhochschule Joanneum Graz,2019,East,869
Georgia Institute of Technology,2003,Australia,869
Hochschule für Angewandte Wissenschaften Hamburg,2011,Italy,868
University of Western Australia,2005,Michigan,868
TU Delft,2010,Germany,867
Hochschule für Angewandte Wissenschaften Hamburg,2013,Hungary,866
Fachhochschule Coburg,2018,Germany,866
GFR DHBW Ravensburg &amp; Oregon State University,2019,Germany,866
University of Western Australia,2008,Michigan,866
Western University,2015,Lincoln,865
Hochschule Esslingen,2017,Germany,865
Technical University of Munich,2011,Michigan,865
Università degli studi di Padova,2019,Italy,864
Technical University of Munich,2017,Spain,864
Monash University,2018,United Kingdom,864
Monash University,2011,Australia,864
Hochschule Karlsruhe - Technik und Wirtschaft,2019,Spain,863
Universität Stuttgart,2017,Spain,863
Technische Universität Graz,2015,Austria,863
Universitat Politécnica de Valéncia,2021,Germany,863
Indian Institute of Technology Madras,2020,India,863
Tallinn TU UAS,2012,Hungary,863
GFR DHBW Ravensburg &amp; Oregon State University,2017,Michigan,862
Technische Universität Graz,2017,Germany,862
University of Kansas,2012,Lincoln,862
GFR DHBW Ravensburg &amp; Oregon State University,2018,Germany,861
Sophia University,2009,Japan,861
Fachhochschule Coburg,2016,East,861
Universitat Politécnica de Valéncia,2019,Spain,860
Czech Technical University in Prague,2015,Czech Republic,859
University of Texas at Arlington,1995,Michigan,859
Rochester Institute of Technology,2001,United Kingdom,859
Technical University of Munich,2011,Germany,859
Osaka University,2011,Japan,858
Texas A&amp;M University,2006,California,858
Karlsruhe Institute of Technology,2012,Michigan,857
University of Western Australia,2007,Michigan,857
Kyoto University,2013,Japan,857
Technical University of Munich,2012,Germany,857
Cardiff University Wales,2017,United Kingdom,856
Rochester Institute of Technology,1995,Michigan,856
Chalmers University of Technology,2003,Australia,856
Lund University,2019,Netherlands,856
École Polytechnique de Montréal,2019,Lincoln,856
Technische Universität Graz,2017,Michigan,855
Cornell University,1992,Michigan,855
Technische Universität Graz,2016,Spain,855
Universität Stuttgart,2011,Michigan,854
The University of Tokyo,2008,Japan,854
University of Illinois at Urbana-Champaign,2022,Michigan,854
University of Wisconsin-Madison,2005,Michigan,854
University of Michigan - Ann Arbor,2019,Lincoln,854
Osaka University,2013,Japan,854
University of Michigan - Ann Arbor,2010,Michigan,854
Auburn University,2016,Lincoln,854
Missouri University of Science and Technology,2009,Virginia,853
Osaka University,2018,Japan,853
University of Washington,2016,Lincoln,853
Purdue University - West Lafayette,2022,Michigan,853
University of Michigan - Ann Arbor,1994,Michigan,853
The University of Akron,1999,Michigan,853
University of Michigan - Ann Arbor,2019,Canada,853
University of Wollongong,2004,Australia,853
Universität Stuttgart,2010,Italy,853
Università degli studi di Padova,2021,Italy,852
Technical University of Munich,2016,Germany,852
Universität Stuttgart,2016,United Kingdom,851
Sophia University,2006,Japan,851
Auburn University,2013,Lincoln,851
Technische Universität Graz,2008,Germany,850
Chalmers University of Technology,2012,United Kingdom,850
Fachhochschule Joanneum Graz,2021,Austria,850
Texas A&amp;M University,2018,Lincoln,850
Kyoto Institute of Technology,2017,Japan,849
Kokushikan University,2007,Japan,849
Universität Stuttgart,2008,Michigan,849
Hochschule Esslingen,2014,Spain,849
Rochester Institute of Technology,1999,Michigan,848
Budapest University of Technology and Economics,2022,Czech Republic,848
GFR DHBW Ravensburg &amp; Oregon State University,2015,Michigan,848
Technical University of Munich,2010,United Kingdom,848
Cornell University,1997,Michigan,847
Technische Universität Graz,2019,Austria,847
Universidade Estadual de Campinas,2011,Brasil,847
Chalmers University of Technology,2012,Germany,847
University of Melbourne,2015,Australia,847
Technische Universität Graz,2018,Austria,846
University of Wollongong,2016,Australia,846
University of Florida,2015,Michigan,845
Cornell University,1995,Michigan,845
Texas A&amp;M University,2004,Michigan,845
Technische Universität Berlin,2021,Netherlands,844
Università degli Studi di Firenze,2005,Italy,844
GFR DHBW Ravensburg &amp; Oregon State University,2011,Austria,844
University of Toronto,2006,United Kingdom,844
University of Texas at Arlington,2012,Lincoln,844
Brno University of Technology,2019,Czech Republic,844
Friedrich-Alexander-Universität Erlangen-Nürnberg,2016,East,844
Missouri University of Science and Technology,2013,Lincoln,844
Texas A&amp;M University,2007,California,843
Fachhochschule Joanneum Graz,2017,Michigan,843
GFR DHBW Ravensburg &amp; Oregon State University,2012,Austria,843
Technische Universität Graz,2010,Michigan,843
Texas A&amp;M University,2000,Michigan,842
Monash University,2012,United Kingdom,841
Hochschule für Angewandte Wissenschaften Hamburg,2016,Spain,841
Universität Stuttgart,2018,Michigan,841
Brno University of Technology,2019,Netherlands,841
Monash University,2012,Germany,841
Kyoto Institute of Technology,2018,Japan,840
Technical University of Munich,2014,Michigan,840
Tallinn TU UAS,2011,Hungary,840
Technische Universität Graz,2007,Germany,840
University of New South Wales,2018,Australia,840
Technical University of Munich,2008,Michigan,840
Technische Universität Wien,2008,Germany,839
University of Kansas,2007,California,839
Universität Stuttgart,2016,Germany,839
Fachhochschule Joanneum Graz,2016,Michigan,839
Friedrich-Alexander-Universität Erlangen-Nürnberg,2011,Hungary,839
Auburn University,2004,Michigan,839
University of Missouri,2001,Michigan,839
Technische Universität Darmstadt,2010,Italy,838
Fachhochschule Coburg,2018,Spain,838
Villanova University,2022,Michigan,838
University of Birmingham,2017,United Kingdom,838
Rochester Institute of Technology,2012,Germany,837
Missouri University of Science and Technology,2004,Michigan,837
RMIT University,2004,Australia,837
Universität Stuttgart,2014,United Kingdom,837
Budapest University of Technology and Economics,2011,Hungary,836
University Of Hertfordshire,2017,Czech Republic,836
Czech Technical University in Prague,2012,Hungary,836
California State Polytechnic University Pomona,2016,Lincoln,835
University of Western Australia,2004,Australia,835
University Of Hertfordshire,2008,Germany,835
Texas A&amp;M University,2014,Lincoln,835
University of Wisconsin-Madison,2008,Michigan,835
K. J. Somaiya College of Engineering,2018,India,834
Technische Universität Graz,2009,Michigan,834
Technische Universität Graz,2006,United Kingdom,834
Politecnico di Milano,2017,Italy,834
University of Wisconsin-Madison,2014,Lincoln,834
Universität Stuttgart,2014,Michigan,834
Universität Kassel,2017,Italy,833
Universität Stuttgart,2017,East,833
University of Western Australia,2009,Australia,833
Technische Universität Graz,2006,Germany,832
Universität Stuttgart,2013,Michigan,832
University of Texas at Arlington,2004,Japan,832
Alma Mater Studiorum - Università di Bologna,2014,Brasil,831
Sophia University,2010,Japan,830
University of Texas at Arlington,1997,Michigan,830
Missouri University of Science and Technology,2017,Lincoln,830
University of Texas at Arlington,2022,Michigan,829
RMIT University,2008,Michigan,829
Wroclaw University of Technology,2017,Czech Republic,829
Karlsruhe Institute of Technology,2014,United Kingdom,828
Czech Technical University in Prague,2021,East,828
Czech Technical University in Prague,2016,Czech Republic,828
Monash University,2016,Australia,828
Edith Cowan University,2018,Australia,827
Hochschule für Angewandte Wissenschaften Hamburg,2009,Italy,827
Yokohama National University,2010,Japan,827
Universität Stuttgart,2017,Germany,827
Missouri University of Science and Technology,2016,Canada,826
Czech Technical University in Prague,2021,Czech Republic,826
Universität Stuttgart,2013,Germany,826
University of Kansas,2013,Lincoln,826
Helsinki Metropolia University of Applied Sciences,2006,Germany,826
Missouri University of Science and Technology,2016,Lincoln,825
University of Illinois at Urbana-Champaign,2008,Virginia,825
Escola de Engenharia de São Carlos da Universidade de São Paulo,2015,Brasil,825
Hochschule Karlsruhe - Technik und Wirtschaft,2021,Germany,825
Sophia University,2003,Japan,825
RMIT University,2006,California,825
Westsächsische Hochschule Zwickau,2010,Italy,825
University Of Hertfordshire,2012,Germany,825
University of Wollongong,2006,California,825
Hochschule für Angewandte Wissenschaften Hamburg,2014,Hungary,824
University of Applied Sciences Ravensburg-Weingarten,2016,East,824
University of Wollongong,2018,Australia,823
Technische Universität Darmstadt,2010,Austria,822
Technische Universität Graz,2010,Italy,822
University of Canterbury,2015,Australia,822
University of Washington,2004,Michigan,822
University of Oklahoma,2011,California,822
Technische Universität Graz,2015,Michigan,821
Monash University,2014,United Kingdom,821
Tokyo City University,2010,Japan,821
Tallinn TU UAS,2013,Michigan,821
Kanazawa University,2005,Japan,820
Technische Universität Graz,2007,Michigan,820
Centro Universitário Facens,2017,Brasil,820
Alma Mater Studiorum - Università di Bologna,2021,Italy,819
The University of Akron,2013,Michigan,819
Friedrich-Alexander-Universität Erlangen-Nürnberg,2018,Italy,819
California State Polytechnic University Pomona,2014,Lincoln,819
University of Texas at Arlington,2013,Lincoln,819
Western Washington University,1995,Michigan,819
GFR DHBW Ravensburg &amp; Oregon State University,2016,Michigan,818
University of Wisconsin-Madison,2012,Lincoln,818
Fachhochschule München,2015,Austria,818
University of Wisconsin-Madison,2002,Michigan,818
École de Technologie Superieure,2013,Michigan,818
Hochschule Esslingen,2017,Austria,817
University of Queensland,2003,Australia,817
École de Technologie Superieure,2012,Germany,816
Technische Universität Graz,2011,Michigan,816
University of Oklahoma,2010,California,815
Rochester Institute of Technology,2002,United Kingdom,815
University of Kansas,2009,California,815
University of Maryland,2010,Michigan,815
Kokushikan University,2003,Japan,815
Hochschule Esslingen,2015,Hungary,815
Hochschule Esslingen,2013,Italy,815
Cornell University,1999,Michigan,815
University of Michigan - Ann Arbor,2010,Germany,815
Rochester Institute of Technology,2010,Michigan,814
Czech Technical University in Prague,2014,Italy,814
Rochester Institute of Technology,2009,Michigan,814
Universität Stuttgart,2013,United Kingdom,814
University Of Hertfordshire,2009,Germany,814
Universität Stuttgart,2011,Germany,813
Technische Universität Graz,2008,Michigan,813
Centro Universitário Facens,2011,Brasil,813
University of Maryland,2008,California,813
Auburn University,2003,Australia,813
Western University,2015,Canada,812
Universität Stuttgart,2013,Austria,812
University of Waterloo,2005,Michigan,812
University of Washington,2005,Michigan,812
University of Wisconsin-Madison,2011,Michigan,812
California State Polytechnic University Pomona,2013,Lincoln,812
Technische Universität Graz,2018,Michigan,812
Yokohama National University,2009,Japan,811
Friedrich-Alexander-Universität Erlangen-Nürnberg,2012,Hungary,811
University of Western Australia,2009,Germany,811
University of Western Australia,2008,Australia,810
Georgia Institute of Technology,2003,Michigan,810
Cornell University,2008,Michigan,810
Politecnico di Torino,2008,Italy,810
Kanagawa Institute of Technology,2005,Japan,809
Fachhochschule Joanneum Graz,2013,Hungary,809
TU Delft,2006,Germany,808
Technical University of Munich,2013,Austria,808
University of Wisconsin-Madison,2011,California,808
Griffith University,2018,Australia,808
University of Washington,2012,Lincoln,808
University of Oklahoma,2009,Virginia,808
Technical University of Munich,2012,Austria,808
Kettering University,2013,Lincoln,807
Fachhochschule Joanneum Graz,2007,Germany,807
University of Michigan - Ann Arbor,1995,Michigan,807
University of New South Wales,2001,Australia,807
Université Laval,2016,Canada,807
Technische Universität Graz,2015,Japan,807
Texas A&amp;M University,2012,Lincoln,806
Curtin University,2016,Australia,806
University of Illinois at Urbana-Champaign,2015,Lincoln,806
Fachhochschule Coburg,2012,Spain,806
Alma Mater Studiorum - Università di Bologna,2019,Czech Republic,806
Friedrich-Alexander-Universität Erlangen-Nürnberg,2013,Hungary,806
Białystok University of Technology,2016,Czech Republic,805
Kanazawa University,2008,Japan,805
Wroclaw University of Technology,2018,Italy,805
Nagoya University,2006,Japan,805
Karlsruhe Institute of Technology,2016,Spain,805
The University of Akron,1998,Michigan,804
Hochschule Esslingen,2013,Germany,804
Fachhochschule Joanneum Graz,2016,Austria,803
Technical University of Munich,2009,Germany,803
Kokushikan University,2005,Japan,802
Oxford Brookes University,2006,Germany,802
Michigan State University,2018,Lincoln,802
Oxford Brookes University,2006,United Kingdom,802
Nagoya Institute of Technology,2019,Japan,801
University of Maryland,2009,California,801
The Ohio State University,2001,Michigan,801
University of Cincinnati,2007,United Kingdom,801
University of Illinois at Urbana-Champaign,2013,Lincoln,800
Rochester Institute of Technology,1994,Michigan,800
Doshisha University,2014,Japan,800
Université Laval,2013,Michigan,800
Czech Technical University in Prague,2012,Spain,799
San José State University,2014,Lincoln,799
Rochester Institute of Technology,1997,Michigan,799
Hochschule Esslingen,2016,Spain,799
Western University,2016,Canada,799
University of Michigan - Ann Arbor,2009,Germany,799
Missouri University of Science and Technology,2008,California,799
University of Oklahoma,2009,California,799
Auburn University,2007,California,798
Helsinki Metropolia University of Applied Sciences,2006,United Kingdom,798
École de Technologie Superieure,2008,Germany,797
Universität Stuttgart,2021,Germany,797
University of Queensland,2006,Germany,797
Carleton University,2019,Canada,796
Universität Stuttgart,2012,Michigan,796
Universität Stuttgart,2010,United Kingdom,796
Centro Universitário Facens,2007,Brasil,796
University of Florida,2022,Michigan,796
The University of Akron,2013,Germany,795
Hochschule Darmstadt UAS,2022,Italy,795
Chalmers University of Technology,2013,Germany,795
University of Cincinnati,1997,Michigan,795
Technical University of Munich,2013,Germany,795
Helsinki Metropolia University of Applied Sciences,2007,Germany,795
University of Toronto,2004,United Kingdom,795
Technische Universität Darmstadt,2008,Germany,794
Fachhochschule Joanneum Graz,2013,Italy,794
Fachhochschule Coburg,2015,Spain,794
University of Washington,2010,California,794
Universität Stuttgart,2006,Italy,794
Purdue University - West Lafayette,2007,California,793
Hochschule Esslingen,2017,Spain,793
University of Glasgow,2022,United Kingdom,793
Brno University of Technology,2015,Italy,793
Hochschule Esslingen,2012,Germany,792
University of Texas at Arlington,1992,Michigan,792
University of Michigan - Ann Arbor,2006,Japan,792
Fachhochschule Joanneum Graz,2014,Michigan,792
Universität Stuttgart,2009,United Kingdom,792
Brno University of Technology,2021,Czech Republic,791
University of Kansas,2017,Lincoln,791
Helsinki Metropolia University of Applied Sciences,2008,Germany,791
Technische Universität Bergakademie Freiberg,2010,Italy,791
Hochschule für Angewandte Wissenschaften Hamburg,2008,Germany,790
Pennsylvania State University,2005,Michigan,790
Monash University,2018,Austria,790
École de Technologie Superieure,2009,Michigan,790
University of Wisconsin-Madison,2000,Michigan,790
Czech Technical University in Prague,2019,Italy,790
Universitat Politécnica de Valéncia,2018,Michigan,790
University of Michigan - Ann Arbor,2018,Canada,790
Rochester Institute of Technology,2007,Germany,790
Pennsylvania State University,2004,Michigan,789
The University of Akron,2014,Michigan,788
University of Oklahoma,2008,California,788
Technische Hochschule Mittelhessen,2015,Italy,788
University of Michigan - Ann Arbor,2011,Michigan,788
Yokohama National University,2019,Japan,788
University of Missouri,1999,Michigan,788
University of Western Australia,2011,Australia,787
Rochester Institute of Technology,1996,Michigan,787
University of Illinois at Urbana-Champaign,2009,Virginia,787
University of Washington,2013,Germany,786
Pennsylvania State University,2006,Michigan,786
University of Toronto,2007,United Kingdom,786
Iowa State University,2016,Lincoln,786
Technische Universität Graz,2010,Austria,786
TU Delft,2009,United Kingdom,786
University of Queensland,2005,Australia,786
Hochschule Karlsruhe - Technik und Wirtschaft,2021,Austria,786
University of New South Wales,2003,Australia,785
University of Bath,2007,United Kingdom,785
Michigan State University,2008,California,785
Technische Universität Graz,2008,Italy,785
Monash University,2010,United Kingdom,784
Technical University of Munich,2012,United Kingdom,784
Iowa State University,2017,Lincoln,784
Helsinki Metropolia University of Applied Sciences,2005,United Kingdom,783
Hochschule für Angewandte Wissenschaften Hamburg,2012,Germany,783
The University of Akron,2019,East,783
Technical University of Munich,2012,Michigan,783
Hochschule Esslingen,2009,Italy,783
Fachhochschule Joanneum Graz,2016,Germany,782
The University of Akron,2004,Michigan,781
Toyohashi University of Technology,2014,Japan,781
Virginia Polytechnic Institute and State University,2017,Lincoln,781
Fachhochschule Coburg,2017,Austria,781
Shibaura Institute of Technology,2017,Japan,780
Shibaura Institute of Technology,2005,Japan,780
Technische Universität Graz,2016,Austria,780
Friedrich-Alexander-Universität Erlangen-Nürnberg,2016,Germany,780
Centro Universitário Facens,2016,Brasil,779
University of Toronto,2008,Germany,779
Universität Stuttgart,2012,United Kingdom,779
Politecnico di Milano,2019,Germany,779
Fachhochschule Coburg,2016,Spain,779
Dartmouth College,2004,Michigan,779
University of Texas at Arlington,2010,Michigan,779
Iowa State University,2015,Canada,779
Ostbayerische Technische Hochschule Regensburg,2018,Germany,779
University of Cincinnati,2007,Michigan,779
École de Technologie Superieure,2009,Germany,779
University of Toronto,2007,Michigan,778
Białystok University of Technology,2016,Italy,778
Karlsruhe Institute of Technology,2014,Hungary,777
Fachhochschule München,2016,Austria,777
Westsächsische Hochschule Zwickau,2010,Germany,777
Nagoya Institute of Technology,2017,Japan,776
KTH Royal Institute of Technology,2005,United Kingdom,776
Universidade Estadual de Campinas,2014,Brasil,776
Technische Universität Graz,2005,United Kingdom,776
Tokyo Denki University,2005,Japan,775
The University of Newcastle,2016,Australia,775
Curtin University,2018,Australia,775
Technische Universität Berlin,2015,Czech Republic,774
University of Wollongong,2006,Australia,774
Tongji University,2018,Japan,774
Technical University of Munich,2010,Michigan,774
Hochschule Karlsruhe - Technik und Wirtschaft,2022,Germany,774
University of Toledo,2007,California,773
Technische Universität Darmstadt,2010,Germany,773
Edith Cowan University,2012,Australia,773
Czech Technical University in Prague,2013,Hungary,773
Karlsruhe Institute of Technology,2015,Spain,773
Georgia Institute of Technology,2002,Michigan,773
Oxford Brookes University,2018,United Kingdom,772
Gujarat Technological University,2019,India,772
Griffith University,2016,Australia,772
Edith Cowan University,2011,Australia,772
Fachhochschule Coburg,2017,Spain,772
Karlsruhe Institute of Technology,2013,United Kingdom,772
Ulm University of Applied Sciences,2019,Spain,772
École de Technologie Superieure,2019,Michigan,771
École Polytechnique de Montréal,2016,Canada,771
University of Bath,2012,Austria,771
University of Michigan - Ann Arbor,2012,Germany,771
Friedrich-Alexander-Universität Erlangen-Nürnberg,2011,Austria,771
University Of Hertfordshire,2006,United Kingdom,771
University of Sydney,2002,Australia,770
University of Cincinnati,2008,Virginia,770
University of Modena and Reggio Emilia,2021,Spain,770
University of Melbourne,2014,Australia,770
University of Maryland,2011,California,769
Hochschule Esslingen,2016,Germany,769
Technische Universität Graz,2007,United Kingdom,769
Helsinki Metropolia University of Applied Sciences,2011,Germany,769
Missouri University of Science and Technology,1998,Michigan,768
University of Wisconsin-Madison,2001,Michigan,768
Drexel University,2005,United Kingdom,768
Tokyo Denki University,2006,Japan,768
Doshisha University,2013,Japan,768
Rochester Institute of Technology,2011,Germany,768
Technical University of Munich,2011,United Kingdom,768
Cornell University,1994,Michigan,768
University of Wollongong,2003,Australia,767
The University of Michigan-Dearborn,2015,Canada,767
University of Alberta,2010,California,767
Doshisha University,2012,Japan,767
Vishwakarma Institute of Technology,2020,India,767
Fachhochschule Stralsund,2005,United Kingdom,767
Politecnico di Torino,2007,Italy,767
Università degli studi di Padova,2019,Germany,766
Technische Universität Darmstadt,2007,Germany,766
Kanazawa University,2007,Japan,766
ETH Zürich,2009,United Kingdom,766
Széchenyi István University,2022,Austria,766
Auburn University,2003,Michigan,766
Politecnico di Torino,2011,Italy,765
North Carolina State University,2005,Michigan,765
Texas A&amp;M University,2001,Michigan,765
University of Texas at Arlington,2019,Lincoln,765
University of Wisconsin-Madison,2004,Michigan,765
Utsunomiya University,2006,Japan,765
Nagoya University,2012,Japan,765
Technische Hochschule Köln,2009,Germany,765
Karlsruhe Institute of Technology,2012,Germany,765
University of Applied Sciences Ravensburg-Weingarten,2013,Hungary,765
École de Technologie Superieure,1996,Michigan,765
University of Applied Sciences Ravensburg-Weingarten,2019,Austria,765
University Of Hertfordshire,2005,United Kingdom,764
Hochschule Darmstadt UAS,2021,Germany,764
University of Washington,2006,California,764
South Dakota School of Mines and Technology,2007,California,764
Hochschule Esslingen,2010,Italy,763
Michigan State University,2016,Michigan,763
University of Michigan - Ann Arbor,2002,Michigan,763
Universitat Politécnica de Valéncia,2019,Germany,763
Fachhochschule Konstanz,2019,Czech Republic,763
Széchenyi István University,2022,East,762
Fachhochschule Stralsund,2007,Germany,762
University of Michigan - Ann Arbor,2019,Michigan,762
Ibaraki University,2012,Japan,762
Michigan State University,2014,Lincoln,762
Hochschule Karlsruhe - Technik und Wirtschaft,2018,Spain,761
Missouri University of Science and Technology,2019,Lincoln,761
Hochschule Esslingen,2019,Austria,761
Pennsylvania State University,2001,United Kingdom,761
University of Cincinnati,2013,Lincoln,760
Wroclaw University of Technology,2016,Czech Republic,760
Rochester Institute of Technology,2010,Germany,760
University of Washington,1999,Michigan,760
Kookmin University,2015,Michigan,760
Politecnico di Torino,2009,Italy,759
University of Toledo,2014,Lincoln,759
University of Michigan - Ann Arbor,2006,Michigan,759
Rochester Institute of Technology,2006,California,759
Politecnico di Milano,2018,Italy,759
Universität Stuttgart,2006,Germany,759
Swinburne University of Technology,2010,Australia,759
Auburn University,2006,California,758
University of Illinois at Urbana-Champaign,2007,California,758
Technische Universität Graz,2007,Italy,758
California State University Northridge,2007,California,758
Széchenyi István University,2019,East,758
