Rank,University,Wins
1,Universität Stuttgart,23
2,GFR DHBW Ravensburg &amp; Oregon State University,16
3,Hochschule Esslingen,10
4,Monash University,8
5,Centro Universitário da FEI,6
6,Cornell University,6
7,Fachhochschule Joanneum Graz,6
8,RMIT University,6
9,Technische Universität Graz,6
10,Texas A&amp;M University,5
11,Czech Technical University in Prague,4
12,Technical University of Munich,4
13,University of Michigan - Ann Arbor,4
14,University of Wollongong,4
15,Fachhochschule Coburg,3
16,Gujarat Technological University,3
17,Hochschule für Angewandte Wissenschaften Hamburg,3
18,Hochschule Karlsruhe - Technik und Wirtschaft,3
19,University of Toronto,3
20,École de Technologie Superieure,3
21,Alma Mater Studiorum - Università di Bologna,2
22,Centro Universitário Facens,2
23,Kokushikan University,2
24,Kyoto Institute of Technology,2
25,Missouri University of Science and Technology,2
26,Nagoya Institute of Technology,2
27,Politecnico di Milano,2
28,Rochester Institute of Technology,2
29,The University of Akron,2
30,TU Delft,2
31,Universitat Politécnica de Valéncia,2
32,University of Illinois at Urbana-Champaign,2
33,University of Leeds,2
34,University of Texas at Arlington,2
35,University of Western Australia,2
36,Auburn University,1
37,Brno University of Technology,1
38,Brunel University London,1
39,California State Polytechnic University Pomona,1
40,Chalmers University of Technology,1
41,Escola de Engenharia de São Carlos da Universidade de São Paulo,1
42,Friedrich-Alexander-Universität Erlangen-Nürnberg,1
43,Hochschule Darmstadt UAS,1
44,K. J. Somaiya College of Engineering,1
45,Kobe University,1
46,Kyoto University,1
47,Nagoya University,1
48,Oregon State University,1
49,Oxford Brookes University,1
50,Ritsumeikan University,1
51,San José State University,1
52,Sophia University,1
53,Swinburne University of Technology,1
54,Technische Universität Berlin,1
55,The University of Tokyo,1
56,Tokyo Denki University,1
57,Universidade Federal do Rio Grande do Sul,1
58,University of Bath,1
59,University of Birmingham,1
60,University of Kansas,1
61,University of Malta,1
62,University of Melbourne,1
63,University of Modena and Reggio Emilia,1
64,University of New South Wales,1
65,University of Queensland,1
66,University of Sheffield,1
67,University of Toledo,1
68,University of Waikato,1
69,University of Washington,1
70,University of Wisconsin-Madison,1
71,Universität Kassel,1
72,Western University,1
