Rank,University,Wins
1,Technische Universität Graz,11
2,University of Modena and Reggio Emilia,10
3,Cornell University,8
4,Fachhochschule Coburg,8
5,University of Michigan - Ann Arbor,7
6,Universität Stuttgart,6
7,Fachhochschule Joanneum Graz,5
8,Fachhochschule Kiel,4
9,Universidade Estadual de Campinas,4
10,University of Applied Sciences Ravensburg-Weingarten,4
11,University of Queensland,4
12,Wroclaw University of Technology,4
13,Auburn University,3
14,Centro Universitário da FEI,3
15,Czech Technical University in Prague,3
16,Edith Cowan University,3
17,Michigan State University,3
18,Monash University,3
19,Pennsylvania State University,3
20,Rochester Institute of Technology,3
21,University of Illinois at Urbana-Champaign,3
22,University of Maryland,3
23,University of Western Australia,3
24,Cardiff University Wales,2
25,Chalmers University of Technology,2
26,Chiba University,2
27,Escola de Engenharia de São Carlos da Universidade de São Paulo,2
28,Gujarat Technological University,2
29,Helsinki Metropolia University of Applied Sciences,2
30,Karlsruhe Institute of Technology,2
31,Kokushikan University,2
32,Osaka University,2
33,Ostbayerische Technische Hochschule Regensburg,2
34,Saginaw Valley State University,2
35,Technical University of Munich,2
36,The Ohio State University,2
37,The University of Akron,2
38,University of Florida,2
39,AGH University of Science and Technology,1
40,Alma Mater Studiorum - Università di Bologna,1
41,Beijing Institute of Technology,1
42,Białystok University of Technology,1
43,Budapest University of Technology and Economics,1
44,California State Polytechnic University Pomona,1
45,Centro Federal de Educação Tecnológica de Minas Gerais,1
46,Fachhochschule München,1
47,Friedrich-Alexander-Universität Erlangen-Nürnberg,1
48,GFR DHBW Ravensburg &amp; Oregon State University,1
49,Griffith University,1
50,Ibaraki University,1
51,Kanagawa Institute of Technology,1
52,Kanazawa University,1
53,Kettering University,1
54,Manipal Academy of Higher Education,1
55,North Carolina State University,1
56,Oregon State University,1
57,Poznan University of Technology,1
58,Queen's University Belfast,1
59,R.V.College of Engineering,1
60,Rensselaer Polytechnic Institute,1
61,RMIT University,1
62,San José State University,1
63,Silesian University of Technology,1
64,Sophia University,1
65,Technische Universität Darmstadt,1
66,Texas A&amp;M University,1
67,The University of Tokyo,1
68,Tokai University,1
69,Tongji University,1
70,Toyohashi University of Technology,1
71,Universidade Paulista,1
72,Universitat Politécnica de Valéncia,1
73,University of Auckland,1
74,University of Bath,1
75,University of Birmingham,1
76,University of Toronto,1
77,University of West Bohemia,1
78,University of Wollongong,1
79,Universität Kassel,1
80,Yıldız Technical University,1
81,École Centrale de Lyon,1
82,École de Technologie Superieure,1
