Rank,University,Points
183,University of Edinburgh,53.37
184,Marche Polytechnic University,53.35
185,University of Applied Sciences Ravensburg-Weingarten,53.35
186,Deakin University,53.33
187,École Centrale de Lyon,53.28
188,Kookmin University,53.25
189,University of Queensland,53.19
190,South Dakota School of Mines and Technology,53.15
191,Kingston University,53.05
192,California State University Northridge,53.03
193,Northwestern University,53.03
194,University of the West of England,53.01
195,University of Alberta,53.0
196,Clemson University,52.99
197,University of New South Wales - Australian Defence Force Academy,52.97
198,Western Sydney University,52.9
199,Friedrich-Alexander-Universität Erlangen-Nürnberg,52.89
200,University of Alabama,52.89
201,University of Birmingham,52.87
202,Fachhochschule Kiel,52.74
203,Pimpri Chinchwad College Of Engineering,52.71
204,Rheinisch-Westfälische Technische Hochschule Aachen,52.66
205,NED University of Engineering and Technology,52.64
206,University of British Columbia - Vancouver,52.64
207,KTH Royal Institute of Technology,52.5
208,Shanghai Jiao Tong University,52.5
209,Aligarh Muslim University,52.47
210,Fachhochschule Osnabrück,52.42
211,Centro Universitário Facens,52.36
212,Tongji University,52.35
213,National Institute of Applied Sciences Lyon,52.34
214,Tallinn TU UAS,52.34
215,Technological University Dublin,52.23
216,Escola Politécnica da Universidade de São Paulo,52.17
217,Università degli Studi di Roma La Sapienza,52.11
218,Università degli Studi di Napoli Federico II,52.09
219,Lokmanya Tilak College of Engineering,52.06
220,Széchenyi István University,52.02
221,Symbiosis Institute of Technology,52.0
222,Haldia Institute of Technology,51.96
223,Pune Vidyarti Griha's college of Engineering and Technology,51.9
224,University of Strathclyde,51.87
225,Escola Politècnica Superior d'Enginyeria de Manresa,51.77
226,SRM Institute of Science and Technology NCR Campus,51.72
227,Meijo University,51.69
228,École Polytechnique de Montréal,51.67
229,Newcastle University,51.56
230,University of Idaho,51.55
231,University of Adelaide,51.54
232,Osaka University,51.47
233,Glasgow Caledonian University,51.45
234,Australian National University,51.43
235,Politecnico di Torino,51.4
236,Loughborough University,51.39
237,Deggendorf Institute of Technology,51.38
238,Ostfalia University of Applied Sciences,51.33
239,San José State University,51.29
240,University of Zagreb,51.28
241,University of Minnesota Twin Cities,51.25
242,London South Bank University,51.2
243,BITS Pilani KK Birla Goa Campus,51.19
244,University of Wales Trinity Saint David,51.17
245,Technische Hochschule Lübeck,51.08
246,Rutgers The State University of New Jersey,51.06
247,University of Belgrade (Универзитет у Београду),51.03
248,Manipal Academy of Higher Education,51.02
249,Universidade Federal de Minas Gerais,51.02
250,University of New South Wales,51.02
251,University of Warwick,51.02
252,Togliatti State University,50.99
253,Universidade Federal de São João del Rei,50.96
254,Technische Universität Darmstadt,50.92
255,Ryerson University,50.89
256,Marathwada Mitra Mandal's College of Engineering,50.82
257,Pennsylvania State University,50.8
258,Universidade Estadual do Oeste do Paraná,50.8
259,Ramaiah Institute of Technology,50.78
260,Thakur College of Engineering and Technology,50.78
261,University of Bolton,50.75
262,VIT University - Chennai,50.63
263,University of Waikato,50.62
264,Centro Federal de Educação Tecnológica de Minas Gerais,50.57
265,Rose-Hulman Institute of Technology,50.52
266,University of Southern California,50.5
267,Cooper Union,50.45
268,Michigan Technological University,50.44
269,University of West Bohemia,50.44
270,California State Polytechnic University Pomona,50.42
271,Duke University,50.42
272,University of South Florida,50.42
273,Queen Mary University of London,50.4
274,Shizuoka University,50.38
275,National Taipei University of Technology,50.36
276,Technische Hochschule Köln,50.34
277,Fachhochschule Coburg,50.27
278,Kettering University,50.26
279,Ulm University of Applied Sciences,50.25
280,Università degli Studi di Ferrara,50.25
281,Villanova University,50.25
282,Queen's University Belfast,50.23
283,Bangalore Institute of Technology,50.2
284,University of Calgary,50.14
285,California State Polytechnic University - San Luis Obispo,50.06
286,Sinhgad College of Engineering Vadgaon,49.94
287,Mississippi State University,49.83
288,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,49.78
289,Lawrence Technological University,49.67
