Rank,University,Year,Points
1,Universität Stuttgart,2016,4449.0
2,Universität Stuttgart,2017,4363.0
3,GFR DHBW Ravensburg &amp; Oregon State University,2010,4363.0
4,Universität Stuttgart,2008,4225.0
5,Universität Stuttgart,2013,4171.0
6,Universität Stuttgart,2018,4043.0
7,Technische Universität Graz,2016,3966.0
8,Technische Universität Graz,2018,3905.0
9,Universität Stuttgart,2022,3757.0
10,GFR DHBW Ravensburg &amp; Oregon State University,2011,3733.0
11,Fachhochschule Joanneum Graz,2013,3674.0
12,GFR DHBW Ravensburg &amp; Oregon State University,2014,3673.0
13,Technische Universität Graz,2015,3645.0
14,Technische Universität Graz,2017,3563.0
15,Hochschule Esslingen,2013,3467.0
16,Universität Stuttgart,2011,3451.0
17,Technische Universität Graz,2013,3442.0
18,Karlsruhe Institute of Technology,2011,3436.0
19,Hochschule für Angewandte Wissenschaften Hamburg,2014,3367.0
20,Friedrich-Alexander-Universität Erlangen-Nürnberg,2012,3366.0
21,Universität Stuttgart,2012,3347.0
22,Hochschule Esslingen,2022,3346.0
23,Monash University,2018,3336.0
24,Fachhochschule Coburg,2016,3307.0
25,Fachhochschule Coburg,2018,3241.0
26,Technical University of Munich,2012,3232.0
27,Wroclaw University of Technology,2021,3225.0
28,Technische Universität Graz,2019,3220.0
29,Technische Universität Graz,2010,3205.0
30,Technical University of Munich,2011,3195.0
31,Technische Universität Graz,2007,3187.0
32,Fachhochschule Joanneum Graz,2021,3183.0
33,Politecnico di Milano,2019,3174.0
34,Universitat Politécnica de Valéncia,2021,3149.0
35,Universität Stuttgart,2015,3140.0
36,Fachhochschule Joanneum Graz,2016,3134.0
37,Brno University of Technology,2019,3086.0
38,Fachhochschule Joanneum Graz,2015,3013.0
39,Western University,2015,3012.0
40,Karlsruhe Institute of Technology,2014,3005.0
41,Hochschule Esslingen,2012,2969.0
42,Technical University of Munich,2014,2945.0
43,Universität Stuttgart,2014,2940.0
44,Technische Universität Graz,2009,2936.0
45,Technical University of Munich,2017,2896.0
46,Karlsruhe Institute of Technology,2013,2879.0
47,Hochschule für Angewandte Wissenschaften Hamburg,2013,2871.0
48,Technical University of Munich,2010,2851.0
49,Hochschule für Angewandte Wissenschaften Hamburg,2011,2840.0
50,Technische Universität Graz,2011,2831.0
51,Hochschule Esslingen,2021,2826.0
52,Universitat Politécnica de Valéncia,2019,2822.0
53,Karlsruhe Institute of Technology,2016,2820.0
54,Czech Technical University in Prague,2019,2812.0
55,Technische Universität Graz,2008,2810.0
56,University of Applied Sciences Ravensburg-Weingarten,2016,2806.0
57,Karlsruhe Institute of Technology,2012,2792.0
58,Fachhochschule Coburg,2012,2763.0
59,École de Technologie Superieure,2019,2763.0
60,Białystok University of Technology,2022,2739.0
61,Wroclaw University of Technology,2015,2732.0
62,Technische Universität Berlin,2021,2717.0
63,Fachhochschule Coburg,2017,2702.0
64,GFR DHBW Ravensburg &amp; Oregon State University,2015,2693.0
65,Hochschule für Angewandte Wissenschaften Hamburg,2015,2690.0
66,Universität Stuttgart,2007,2684.0
67,Technische Universität Graz,2012,2681.0
68,Universität Stuttgart,2010,2681.0
69,RMIT University,2006,2673.0
70,Hochschule für Angewandte Wissenschaften Hamburg,2016,2623.0
71,Universität Stuttgart,2009,2623.0
72,Universität Stuttgart,2021,2609.0
73,Wroclaw University of Technology,2019,2604.0
74,Monash University,2012,2581.0
75,Technische Universität Graz,2006,2560.0
76,Fachhochschule Joanneum Graz,2011,2555.0
77,Hochschule Esslingen,2017,2475.0
78,University of Michigan - Ann Arbor,2019,2469.0
79,Rochester Institute of Technology,2010,2449.0
80,Technische Universität Darmstadt,2010,2433.0
81,Missouri University of Science and Technology,2008,2431.0
82,Fachhochschule Joanneum Graz,2018,2425.0
83,Friedrich-Alexander-Universität Erlangen-Nürnberg,2018,2413.0
84,University of Leeds,2001,2384.0
85,Fachhochschule Joanneum Graz,2008,2379.0
86,Missouri University of Science and Technology,2016,2374.0
87,Hochschule Darmstadt UAS,2022,2373.0
88,École de Technologie Superieure,2018,2371.0
89,Universität Stuttgart,2019,2363.0
90,Helsinki Metropolia University of Applied Sciences,2006,2363.0
91,Brno University of Technology,2016,2357.0
92,Helsinki Metropolia University of Applied Sciences,2011,2342.0
93,University of Bath,2016,2341.0
94,Brno University of Technology,2017,2335.0
95,Brno University of Technology,2015,2334.0
96,Wroclaw University of Technology,2017,2333.0
97,Fachhochschule Joanneum Graz,2009,2322.0
98,Westsächsische Hochschule Zwickau,2010,2315.0
99,Fachhochschule Joanneum Graz,2007,2315.0
100,Alma Mater Studiorum - Università di Bologna,2022,2308.0
101,Technical University of Munich,2016,2298.0
102,Fachhochschule Coburg,2019,2292.0
103,Universitat Politécnica de Valéncia,2018,2287.0
104,Czech Technical University in Prague,2012,2267.0
105,Fachhochschule Joanneum Graz,2019,2264.0
106,Monash University,2014,2259.0
107,Monash University,2016,2250.0
108,GFR DHBW Ravensburg &amp; Oregon State University,2018,2248.0
109,Rochester Institute of Technology,2001,2241.0
110,Universität Stuttgart,2006,2233.0
111,Széchenyi István University,2022,2233.0
112,Rochester Institute of Technology,2002,2231.0
113,Universität Kassel,2014,2224.0
114,Technische Universität Bergakademie Freiberg,2010,2217.0
115,TU Delft,2008,2206.0
116,Czech Technical University in Prague,2013,2201.0
117,Fachhochschule Joanneum Graz,2012,2196.0
118,Technische Universität Berlin,2014,2186.0
119,University of Cincinnati,2008,2176.0
120,University of Bath,2015,2175.0
121,Rochester Institute of Technology,2009,2173.0
122,Czech Technical University in Prague,2021,2172.0
123,Hochschule Karlsruhe - Technik und Wirtschaft,2022,2170.0
124,Hochschule Esslingen,2014,2164.0
125,Hochschule Esslingen,2019,2161.0
126,GFR DHBW Ravensburg &amp; Oregon State University,2012,2149.0
127,Brno University of Technology,2021,2145.0
128,GFR DHBW Ravensburg &amp; Oregon State University,2016,2144.0
129,École Polytechnique de Montréal,2019,2143.0
130,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),2011,2128.0
131,Fachhochschule Coburg,2013,2121.0
132,Czech Technical University in Prague,2016,2118.0
133,Università degli studi di Padova,2021,2116.0
134,Friedrich-Alexander-Universität Erlangen-Nürnberg,2016,2115.0
135,Hochschule Esslingen,2010,2108.0
136,ETH Zürich,2008,2077.0
137,University of Modena and Reggio Emilia,2021,2076.0
138,Karlsruhe Institute of Technology,2015,2076.0
139,The University of Akron,2018,2073.0
140,California State Polytechnic University Pomona,2014,2072.0
141,The University of Akron,2012,2070.0
142,Brno University of Technology,2018,2062.0
143,Fachhochschule Coburg,2014,2055.0
144,Missouri University of Science and Technology,2009,2053.0
145,École Polytechnique de Montréal,2016,2043.0
146,Oxford Brookes University,2006,2041.0
147,Friedrich-Alexander-Universität Erlangen-Nürnberg,2011,2032.0
148,École Polytechnique de Montréal,2018,2030.0
149,Fachhochschule München,2015,2029.0
150,Czech Technical University in Prague,2014,2022.0
151,Friedrich-Alexander-Universität Erlangen-Nürnberg,2015,2017.0
152,Tallinn TU UAS,2011,2014.0
153,Budapest University of Technology and Economics,2022,2014.0
154,GFR DHBW Ravensburg &amp; Oregon State University,2019,2010.0
155,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),2010,2000.0
156,Hochschule Esslingen,2011,1999.0
157,Politecnico di Milano,2017,1997.0
158,Fachhochschule München,2014,1996.0
159,University of Seville,2021,1994.0
160,Technical University of Munich,2013,1993.0
161,Universität Kassel,2017,1993.0
162,Białystok University of Technology,2016,1989.0
163,ETH Zürich,2009,1984.0
164,Ostbayerische Technische Hochschule Regensburg,2016,1978.0
