Rank,University,Wins
1,Universität Stuttgart,28
2,GFR DHBW Ravensburg &amp; Oregon State University,16
3,Monash University,11
4,Hochschule Esslingen,10
5,Technische Universität Graz,8
6,Cornell University,7
7,Centro Universitário da FEI,6
8,Fachhochschule Joanneum Graz,6
9,Sophia University,5
10,Texas A&amp;M University,5
11,RMIT University,4
12,University of Wollongong,4
13,École de Technologie Superieure,4
14,Georgia Institute of Technology,3
15,Hochschule Karlsruhe - Technik und Wirtschaft,3
16,Kyoto Institute of Technology,3
17,Rochester Institute of Technology,3
18,Technical University of Munich,3
19,University of Texas at Arlington,3
20,University of Toronto,3
21,University of Western Australia,3
22,Alma Mater Studiorum - Università di Bologna,2
23,Centro Universitário Facens,2
24,Czech Technical University in Prague,2
25,Escola de Engenharia de São Carlos da Universidade de São Paulo,2
26,Fachhochschule Coburg,2
27,Gujarat Technological University,2
28,Missouri University of Science and Technology,2
29,Osaka University,2
30,Politecnico di Milano,2
31,TU Delft,2
32,University of Illinois at Urbana-Champaign,2
33,University of Kansas,2
34,University of Wisconsin-Madison,2
35,Auburn University,1
36,Brno University of Technology,1
37,Cardiff University Wales,1
38,Chalmers University of Technology,1
39,Helsinki Metropolia University of Applied Sciences,1
40,Hochschule Darmstadt UAS,1
41,Hochschule für Angewandte Wissenschaften Hamburg,1
42,Indian Institute of Technology Madras,1
43,K. J. Somaiya College of Engineering,1
44,Kanazawa University,1
45,Kyoto University,1
46,Nagoya Institute of Technology,1
47,Nagoya University,1
48,San José State University,1
49,Tallinn TU UAS,1
50,The University of Akron,1
51,The University of Tokyo,1
52,Universitat Politécnica de Valéncia,1
53,University of Bath,1
54,University of Glasgow,1
55,University of Maryland,1
56,University of Michigan - Ann Arbor,1
57,University of Modena and Reggio Emilia,1
58,University of Sheffield,1
59,University of Washington,1
60,Wroclaw University of Technology,1
61,École Polytechnique de Montréal,1
