Rank,University,Lowest Place,#
1,Università degli studi di Padova,1st,3
2,Alma Mater Studiorum - Università di Bologna,1st,1
3,Politecnico di Milano,1st,1
4,University of Modena and Reggio Emilia,2nd,3
5,Università degli Studi di Roma La Sapienza,2nd,1
6,Università di Pisa,2nd,1
7,Marche Polytechnic University,3rd,1
8,Università degli Studi di Firenze,3rd,1
9,Università degli Studi di Napoli Federico II,3rd,1
10,Università della Calabria,3rd,1
11,Politecnico di Torino,4th,1
12,Università del Salento,4th,1
13,Politecnico di Bari,6th,1
14,Università degli Studi di Roma Tor Vergata,8th,1
15,Università degli Studi della Tuscia,10th,2
16,University of Brescia,10th,1
17,Università degli Studi di Parma,11th,1
18,Università degli Studi di Catania,14th,1
19,Università degli Studi di Ferrara,14th,1
20,Università degli Studi di Cagliari,15th,1
21,University of Perugia,23rd,1
22,University of Messina,25th,1
23,Università degli Studi di Salerno,39th,1
