Rank,University,Lowest Place,#
1,Università degli studi di Padova,1st,4
2,Università di Pisa,1st,3
3,Alma Mater Studiorum - Università di Bologna,1st,2
4,Politecnico di Torino,1st,1
5,Università degli Studi di Firenze,1st,1
6,Università degli Studi di Roma La Sapienza,1st,1
7,Politecnico di Milano,2nd,2
8,Università della Calabria,2nd,1
9,University of Brescia,4th,1
10,Marche Polytechnic University,6th,3
11,University of Modena and Reggio Emilia,7th,1
12,Università degli Studi di Napoli Federico II,7th,1
13,Università del Salento,7th,1
14,Politecnico di Bari,8th,1
15,University of Perugia,9th,1
16,Università degli Studi di Parma,9th,1
17,Università degli Studi della Tuscia,12th,1
18,Università degli Studi di Roma Tor Vergata,13th,3
19,Università degli Studi di Catania,13th,1
20,Università degli Studi di Ferrara,14th,1
21,Università degli Studi di Cagliari,17th,1
22,University of Messina,29th,1
23,Università degli Studi di Salerno,34th,1
