Rank,University,Points
1,Alma Mater Studiorum - Università di Bologna,561.21
2,Università degli studi di Padova,548.19
3,Politecnico di Torino,487.42
4,University of Modena and Reggio Emilia,480.17
5,Politecnico di Milano,470.62
6,Università degli Studi di Firenze,435.46
7,Università della Calabria,432.64
8,Università di Pisa,402.96
9,University of Brescia,365.0
10,Università degli Studi di Roma La Sapienza,335.57
11,Università degli Studi di Napoli Federico II,335.0
12,University of Messina,331.0
13,Marche Polytechnic University,323.18
14,Università degli Studi di Ferrara,314.33
15,Università degli Studi di Parma,314.3
16,Università degli Studi di Roma Tor Vergata,307.79
17,Università degli Studi della Tuscia,291.4
18,Università degli Studi di Cagliari,278.75
19,Università del Salento,249.18
20,Università degli Studi di Catania,201.0
21,University of Perugia,183.2
22,Politecnico di Bari,150.23
23,Università degli Studi di Salerno,82.0
