Rank,University,Lowest Place,#
1,University of Modena and Reggio Emilia,1st,4
2,Alma Mater Studiorum - Università di Bologna,1st,2
3,Politecnico di Milano,1st,2
4,Università degli studi di Padova,1st,2
5,Politecnico di Torino,2nd,2
6,Università degli Studi di Firenze,2nd,1
7,Università degli Studi di Napoli Federico II,2nd,1
8,Università degli Studi di Roma Tor Vergata,3rd,1
9,Università della Calabria,3rd,1
10,Università di Pisa,6th,1
11,Università degli Studi della Tuscia,7th,1
12,Università degli Studi di Roma La Sapienza,7th,1
13,Marche Polytechnic University,8th,1
14,Università degli Studi di Parma,9th,1
15,Università del Salento,11th,1
16,University of Brescia,15th,1
17,University of Messina,15th,1
18,Università degli Studi di Cagliari,15th,1
19,Politecnico di Bari,16th,1
20,University of Perugia,28th,1
21,Università degli Studi di Catania,N/A,0
22,Università degli Studi di Ferrara,N/A,0
23,Università degli Studi di Salerno,N/A,0
