Rank,University,Lowest Place,#
1,University of Modena and Reggio Emilia,1st,10
2,Alma Mater Studiorum - Università di Bologna,1st,1
3,Politecnico di Milano,2nd,2
4,Università degli studi di Padova,2nd,2
5,Università della Calabria,2nd,1
6,Politecnico di Torino,3rd,2
7,Marche Polytechnic University,3rd,1
8,Università degli Studi della Tuscia,4th,1
9,Università degli Studi di Roma La Sapienza,4th,1
10,Università di Pisa,4th,1
11,Università degli Studi di Firenze,5th,1
12,Università del Salento,9th,2
13,Università degli Studi di Cagliari,9th,1
14,Università degli Studi di Ferrara,9th,1
15,Università degli Studi di Roma Tor Vergata,10th,2
16,University of Brescia,10th,1
17,Università degli Studi di Napoli Federico II,11th,1
18,Università degli Studi di Parma,14th,1
19,University of Perugia,22nd,1
20,Politecnico di Bari,23rd,1
21,Università degli Studi di Catania,28th,1
22,University of Messina,35th,1
23,Università degli Studi di Salerno,N/A,0
