Rank,University,Points
1,Università degli Studi di Ferrara,83.67
2,Università degli Studi di Firenze,81.33
3,Università di Pisa,77.83
4,Università degli studi di Padova,75.95
5,Università della Calabria,75.44
6,Politecnico di Torino,73.68
7,University of Modena and Reggio Emilia,73.12
8,Alma Mater Studiorum - Università di Bologna,73.05
9,University of Brescia,71.78
10,University of Messina,71.0
11,Università degli Studi di Napoli Federico II,67.17
12,Politecnico di Milano,66.95
13,Università degli Studi di Roma La Sapienza,66.69
14,Marche Polytechnic University,65.45
15,Università del Salento,65.33
16,Università degli Studi di Parma,61.07
17,Università degli Studi di Catania,57.04
18,Università degli Studi di Roma Tor Vergata,56.98
19,Università degli Studi di Cagliari,56.34
20,Università degli Studi della Tuscia,54.1
21,Politecnico di Bari,52.69
22,University of Perugia,52.24
23,Università degli Studi di Salerno,35.25
