Acceleration - Average Points,8th,46.27,
Acceleration - Best Result,3rd,1st,x3
Acceleration - Total,1st,1480.56,
AutoX - Average Points,2nd,97.04,
AutoX - Best Result,1st,1st,x10
AutoX - Total,1st,3105.38,
Business Presentation - Average Points,1st,65.0,
Business Presentation - Best Result,1st,1st,x7
Business Presentation - Total,1st,2079.94,
Cost - Average Points,2nd,74.6,
Cost - Best Result,4th,1st,x1
Cost - Total,1st,2387.29,
Endurance - Average Points,3rd,209.77,
Endurance - Best Result,1st,1st,x8
Endurance - Total,1st,6712.62,
Engineering Design - Average Points,2nd,132.88,
Engineering Design - Best Result,1st,1st,x9
Engineering Design - Total,1st,4252.3,
Fuel - Average Points,2nd,33.07,
Fuel - Best Result,2nd,1st,x1
Fuel - Total,1st,1058.39,
Points - Average Points,1st,704.62,
Points - Total,1st,22548,
Skidpad - Average Points,1st,47.99,
Skidpad - Best Result,1st,1st,x11
Skidpad - Total,1st,1535.62,
