Acceleration - Average Points,3rd,15.78,,
Acceleration - Average Points,4th,Polytechnic,2.13,
Acceleration - Best Result,1st,8th,1,
Acceleration - Best Result,4th,Polytechnic,84th,x1
Acceleration - Total,1st,157.83,,
Acceleration - Total,4th,Polytechnic,14.9,
AutoX - Average Points,2nd,23.96,,
AutoX - Average Points,5th,Polytechnic,1.34,
AutoX - Best Result,1st,31st,1,
AutoX - Best Result,5th,Polytechnic,81st,x1
AutoX - Total,1st,239.63,,
AutoX - Total,4th,Polytechnic,9.4,
Business Presentation - Average Points,1st,47.88,,
Business Presentation - Average Points,4th,Polytechnic,27.66,
Business Presentation - Best Result,1st,7th,1,
Business Presentation - Best Result,2nd,Polytechnic,41st,x1
Business Presentation - Total,1st,478.79,,
Business Presentation - Total,2nd,Polytechnic,193.64,
Cost - Average Points,4th,55.47,,
Cost - Average Points,5th,Polytechnic,47.65,
Cost - Best Result,1st,4th,2,
Cost - Best Result,3rd,Polytechnic,10th,x1
Cost - Total,1st,554.7,,
Cost - Total,2nd,Polytechnic,333.52,
Endurance - Average Points,3rd,5.09,,
Endurance - Average Points,4th,Polytechnic,0.29,
Endurance - Best Result,1st,22nd,1,
Endurance - Best Result,4th,Polytechnic,88th,x1
Endurance - Total,2nd,50.88,,
Endurance - Total,4th,Polytechnic,2.0,
Engineering Design - Average Points,1st,72.68,,
Engineering Design - Average Points,5th,Polytechnic,36.57,
Engineering Design - Best Result,1st,5th,1,
Engineering Design - Best Result,2nd,Polytechnic,27th,x1
Engineering Design - Total,1st,726.75,,
Engineering Design - Total,3rd,Polytechnic,256.0,
Fuel - Average Points,2nd,0.19,,
Fuel - Best Result,2nd,35th,1,
Fuel - Total,2nd,1.92,,
Points - Average Points,2nd,227.8,,
Points - Average Points,5th,Polytechnic,114.14,
Points - Total,1st,2278,,
Points - Total,3rd,Polytechnic,799,
Skidpad - Average Points,3rd,6.78,,
Skidpad - Best Result,2nd,33rd,1,
Skidpad - Total,2nd,67.85,,
