Acceleration - Average Points,17th,4.72,,
Acceleration - Best Result,15th,8th,1,
Acceleration - Total,17th,33.06,,
AutoX - Average Points,21st,8.65,,
AutoX - Best Result,21st,9th,1,
AutoX - Total,18th,60.57,,
Business Presentation - Average Points,31st,29.88,,
Business Presentation - Average Points,32nd,- Joinville,27.84,
Business Presentation - Best Result,17th,5th,1,
Business Presentation - Best Result,29th,- Joinville,10th,x1
Business Presentation - Total,19th,209.15,,
Business Presentation - Total,24th,- Joinville,139.21,
Cost - Average Points,16th,52.64,,
Cost - Average Points,29th,- Joinville,37.84,
Cost - Best Result,18th,6th,1,
Cost - Best Result,22nd,- Joinville,8th,x2
Cost - Total,15th,368.51,,
Cost - Total,27th,- Joinville,189.19,
Endurance - Average Points,20th,2.57,,
Endurance - Average Points,27th,- Joinville,0.8,
Endurance - Best Result,16th,7th,1,
Endurance - Best Result,28th,- Joinville,16th,x1
Endurance - Total,16th,18.0,,
Endurance - Total,27th,- Joinville,4.0,
Engineering Design - Average Points,29th,32.57,,
Engineering Design - Average Points,32nd,- Joinville,30.02,
Engineering Design - Best Result,26th,- Joinville,11th,x1
Engineering Design - Best Result,28th,13th,1,
Engineering Design - Total,21st,227.97,,
Engineering Design - Total,25th,- Joinville,150.11,
Points - Average Points,23rd,130.57,,
Points - Average Points,31st,- Joinville,92.4,
Points - Total,19th,914,,
Points - Total,27th,- Joinville,462,
Skidpad - Average Points,20th,0.86,,
Skidpad - Best Result,17th,10th,1,
Skidpad - Total,19th,6.05,,
