Acceleration - Average Points,8th,31.74,,
Acceleration - Best Result,5th,1st,1,
Acceleration - Total,7th,349.09,,
AutoX - Average Points,9th,42.41,,
AutoX - Average Points,14th,- Sorocaba,21.22,
AutoX - Best Result,7th,3rd,2,
AutoX - Best Result,11th,- Sorocaba,4th,x1
AutoX - Total,9th,466.52,,
AutoX - Total,21st,- Sorocaba,42.43,
Business Presentation - Average Points,19th,35.96,,
Business Presentation - Best Result,19th,6th,2,
Business Presentation - Total,10th,395.57,,
Cost - Average Points,21st,49.72,,
Cost - Best Result,14th,4th,1,
Cost - Total,8th,546.96,,
Endurance - Average Points,5th,83.04,,
Endurance - Best Result,8th,2nd,1,
Endurance - Total,5th,913.39,,
Engineering Design - Average Points,22nd,40.52,,
Engineering Design - Average Points,27th,- Sorocaba,34.92,
Engineering Design - Average Points,40th,- Campinas - Campus II,10.0,
Engineering Design - Best Result,16th,6th,1,
Engineering Design - Best Result,24th,- Sorocaba,10th,x1
Engineering Design - Best Result,40th,- Campinas - Campus II,32nd,x1
Engineering Design - Total,12th,445.73,,
Engineering Design - Total,33rd,- Sorocaba,69.84,
Engineering Design - Total,40th,- Campinas - Campus II,10.0,
Fuel - Average Points,15th,2.97,,
Fuel - Best Result,9th,1st,1,
Fuel - Total,15th,32.72,,
Points - Average Points,10th,300.0,,
Points - Average Points,38th,- Sorocaba,56.5,
Points - Average Points,43rd,- Campinas - Campus II,10.0,
Points - Total,9th,3300,,
Points - Total,37th,- Sorocaba,113,
Points - Total,43rd,- Campinas - Campus II,10,
Skidpad - Average Points,8th,13.56,,
Skidpad - Best Result,3rd,1st,1,
Skidpad - Total,9th,149.2,,
