Acceleration - Average Points,26th,Sanyo-Onoda City University at,35.8,
Acceleration - Average Points,37th,28.07,,
Acceleration - Best Result,24th,4th,1,
Acceleration - Best Result,34th,Sanyo-Onoda City University at,8th,x1
Acceleration - Total,29th,449.05,,
Acceleration - Total,43rd,Sanyo-Onoda City University at,322.21,
AutoX - Average Points,35th,Sanyo-Onoda City University at,58.58,
AutoX - Average Points,45th,52.48,,
AutoX - Best Result,30th,Sanyo-Onoda City University at,1st,x1
AutoX - Best Result,40th,1st,1,
AutoX - Total,31st,839.7,,
AutoX - Total,49th,Sanyo-Onoda City University at,527.23,
Business Presentation - Average Points,39th,38.41,,
Business Presentation - Average Points,58th,Sanyo-Onoda City University at,31.15,
Business Presentation - Best Result,38th,6th,1,
Business Presentation - Best Result,52nd,Sanyo-Onoda City University at,15th,x1
Business Presentation - Total,28th,614.54,,
Business Presentation - Total,56th,Sanyo-Onoda City University at,280.35,
Cost - Average Points,26th,43.1,,
Cost - Average Points,50th,Sanyo-Onoda City University at,31.39,
Cost - Best Result,26th,5th,1,
Cost - Best Result,36th,Sanyo-Onoda City University at,8th,x1
Cost - Total,20th,689.64,,
Cost - Total,50th,Sanyo-Onoda City University at,282.55,
Endurance - Average Points,22nd,119.31,,
Endurance - Average Points,38th,Sanyo-Onoda City University at,83.79,
Endurance - Best Result,42nd,10th,2,
Endurance - Best Result,48th,Sanyo-Onoda City University at,11th,x1
Endurance - Total,21st,1909.01,,
Endurance - Total,49th,Sanyo-Onoda City University at,754.1,
Engineering Design - Average Points,21st,85.97,,
Engineering Design - Average Points,58th,Sanyo-Onoda City University at,56.33,
Engineering Design - Best Result,26th,6th,1,
Engineering Design - Best Result,65th,Sanyo-Onoda City University at,28th,x1
Engineering Design - Total,23rd,1375.5,,
Engineering Design - Total,55th,Sanyo-Onoda City University at,507.0,
Fuel - Average Points,13th,30.05,,
Fuel - Average Points,45th,Sanyo-Onoda City University at,15.08,
Fuel - Best Result,43rd,Sanyo-Onoda City University at,11th,x1
Fuel - Best Result,44th,12th,2,
Fuel - Total,11th,480.75,,
Fuel - Total,48th,Sanyo-Onoda City University at,135.69,
Points - Average Points,26th,404.69,,
Points - Average Points,41st,Sanyo-Onoda City University at,326.33,
Points - Total,25th,6475,,
Points - Total,51st,Sanyo-Onoda City University at,2937,
Skidpad - Average Points,34th,Sanyo-Onoda City University at,15.42,
Skidpad - Average Points,50th,10.88,,
Skidpad - Best Result,56th,17th,2,
Skidpad - Best Result,63rd,Sanyo-Onoda City University at,24th,x1
Skidpad - Total,40th,174.13,,
Skidpad - Total,44th,Sanyo-Onoda City University at,138.79,
