Acceleration - Average Points,7th,37.92,
Acceleration - Best Result,3rd,1st,x1
Acceleration - Total,3rd,1554.71,
AutoX - Average Points,2nd,70.83,
AutoX - Best Result,9th,2nd,x1
AutoX - Total,2nd,2904.2,
Business Presentation - Average Points,3rd,60.49,
Business Presentation - Best Result,1st,1st,x3
Business Presentation - Total,1st,2480.26,
Cost - Average Points,2nd,76.01,
Cost - Best Result,1st,1st,x5
Cost - Total,1st,3116.31,
Endurance - Average Points,3rd,109.81,
Endurance - Best Result,4th,1st,x1
Endurance - Total,2nd,4502.13,
Engineering Design - Average Points,3rd,113.29,
Engineering Design - Best Result,5th,2nd,x4
Engineering Design - Total,2nd,4644.7,
Fuel - Average Points,3rd,27.14,
Fuel - Best Result,6th,1st,x1
Fuel - Total,2nd,1112.78,
Points - Average Points,2nd,525.59,
Points - Total,1st,21549,
Skidpad - Average Points,2nd,32.84,
Skidpad - Best Result,2nd,1st,x2
Skidpad - Total,2nd,1346.53,
