Acceleration - Average Points,5th,47.3,,
Acceleration - Average Points,13th,- Australian Defence Force Academy,39.56,
Acceleration - Best Result,10th,2nd,1,
Acceleration - Best Result,12th,- Australian Defence Force Academy,3rd,x3
Acceleration - Total,5th,945.98,,
Acceleration - Total,11th,- Australian Defence Force Academy,553.8,
AutoX - Average Points,8th,64.44,,
AutoX - Average Points,20th,- Australian Defence Force Academy,21.34,
AutoX - Best Result,9th,2nd,1,
AutoX - Best Result,18th,- Australian Defence Force Academy,7th,x1
AutoX - Total,5th,1288.87,,
AutoX - Total,17th,- Australian Defence Force Academy,298.8,
Business Presentation - Average Points,12th,- Australian Defence Force Academy,52.97,
Business Presentation - Average Points,17th,51.02,,
Business Presentation - Best Result,12th,- Australian Defence Force Academy,2nd,x1
Business Presentation - Best Result,14th,3rd,1,
Business Presentation - Total,5th,1020.35,,
Business Presentation - Total,10th,- Australian Defence Force Academy,741.58,
Cost - Average Points,4th,69.2,,
Cost - Average Points,9th,- Australian Defence Force Academy,64.42,
Cost - Best Result,1st,1st,3,
Cost - Best Result,15th,- Australian Defence Force Academy,5th,x1
Cost - Total,5th,1383.94,,
Cost - Total,10th,- Australian Defence Force Academy,901.87,
Endurance - Average Points,16th,106.16,,
Endurance - Average Points,17th,- Australian Defence Force Academy,78.65,
Endurance - Best Result,7th,1st,1,
Endurance - Best Result,16th,- Australian Defence Force Academy,5th,x1
Endurance - Total,8th,2123.28,,
Endurance - Total,14th,- Australian Defence Force Academy,1101.1,
Engineering Design - Average Points,7th,112.38,,
Engineering Design - Average Points,10th,- Australian Defence Force Academy,105.86,
Engineering Design - Best Result,12th,4th,2,
Engineering Design - Best Result,13th,- Australian Defence Force Academy,4th,x1
Engineering Design - Total,5th,2247.5,,
Engineering Design - Total,12th,- Australian Defence Force Academy,1482.0,
Fuel - Average Points,10th,- Australian Defence Force Academy,14.63,
Fuel - Average Points,13th,11.07,,
Fuel - Best Result,5th,2nd,2,
Fuel - Best Result,8th,- Australian Defence Force Academy,2nd,x1
Fuel - Total,8th,221.4,,
Fuel - Total,10th,- Australian Defence Force Academy,204.8,
Points - Average Points,13th,486.05,,
Points - Average Points,16th,- Australian Defence Force Academy,397.64,
Points - Total,6th,9721,,
Points - Total,13th,- Australian Defence Force Academy,5567,
Skidpad - Average Points,12th,24.52,,
Skidpad - Average Points,15th,- Australian Defence Force Academy,20.21,
Skidpad - Best Result,14th,4th,1,
Skidpad - Best Result,18th,- Australian Defence Force Academy,6th,x2
Skidpad - Total,6th,490.49,,
Skidpad - Total,12th,- Australian Defence Force Academy,283.0,
