Acceleration - Average Points,3rd,60.73,
Acceleration - Best Result,1st,1st,x8
Acceleration - Total,12th,1639.73,
AutoX - Average Points,7th,97.3,
AutoX - Best Result,5th,1st,x2
AutoX - Total,15th,2627.22,
Business Presentation - Average Points,5th,62.74,
Business Presentation - Best Result,9th,1st,x1
Business Presentation - Total,19th,1693.98,
Cost - Average Points,71st,63.18,
Cost - Best Result,37th,3rd,x1
Cost - Total,28th,1705.78,
Endurance - Average Points,1st,193.48,
Endurance - Best Result,1st,1st,x6
Endurance - Total,7th,5224.04,
Engineering Design - Average Points,6th,114.41,
Engineering Design - Best Result,4th,1st,x2
Engineering Design - Total,14th,3089.0,
Fuel - Average Points,77th,13.66,
Fuel - Best Result,30th,3rd,x1
Fuel - Total,42nd,368.75,
Points - Average Points,1st,669.59,
Points - Total,13th,18079,
Skidpad - Average Points,11th,32.43,
Skidpad - Best Result,2nd,1st,x4
Skidpad - Total,14th,875.52,
